source_headword	MY	example_MY
entertaining	ဖျော်ဖြေမှုပေးသော	ပြပွဲက ဖျော်ဖြေမှုပေးခဲ့သည်။
entrepreneur	စီးပွားရေးလုပ်ငန်းရှင်	ထိုစီးပွားရေးလုပ်ငန်းရှင်က ကော်ဖီဆိုင်တစ်ဆိုင်ကို ဖွင့်လှစ်ခဲ့သည်။
envelope	စာအိတ်	စာကို စာအိတ်ထဲသို့ ထည့်ပါ။
equip	တပ်ဆင်ပေးသည်	ကျောင်းက ဓာတ်ခွဲခန်းကို တပ်ဆင်ပေးလိမ့်မည်။
equivalent	ညီမျှသောအရာ	ဤနေရာတွင် တစ်ဒေါ်လာသည် တူညီသောအရာ မဟုတ်ပါ။
era	ခေတ်	ထိုရှာဖွေတွေ့ရှိမှုက ခေတ်သစ်တစ်ခေတ်ကို စတင်စေခဲ့သည်။
erupt	ပေါက်ကွဲသည်	မီးတောင် မကြာမီ ပေါက်ကွဲနိုင်ပါသည်။
essentially	အခြေခံအားဖြင့်	ထိုနည်းလမ်းနှစ်ခုက အခြေခံအားဖြင့် ထပ်တူညီကြသည်။
ethic	ကျင့်ဝတ်	သူ၏ အလုပ်လုပ်ကိုင်မှု ကျင့်ဝတ်က ခိုင်မာသည်။
ethnic	တိုင်းရင်းသားဆိုင်ရာ	ထိုပွဲတော်က တိုင်းရင်းသား ရိုးရာဓလေ့များကို ကျင်းပသည်။
evaluation	အကဲဖြတ်မှု	သင်တန်းတွင် နောက်ဆုံး အကဲဖြတ်ခြင်း ပါဝင်သည်။
evident	ထင်ရှားသော	သူ၏ စိုးရိမ်ပူပန်မှုက ထင်ရှားသည်။
evolution	ဆင့်ကဲဖြစ်စဉ်	ဆင့်ကဲဖြစ်စဉ်က ဇီဝဗေဒဆိုင်ရာ အပြောင်းအလဲများစွာကို ရှင်းပြသည်။
evolve	တိုးတက်ပြောင်းလဲသည်	ဘာသာစကားများသည် အချိန်နှင့်အမျှ ပြောင်းလဲတိုးတက်ကြသည်။
exceed	ကျော်လွန်သည်	ဝယ်လိုအားက ရောင်းလိုအားထက် ကျော်လွန်နိုင်ပါသည်။
exception	ချွင်းချက်	ချွင်းချက်တစ်ခု ရှိသည်။
excessive	အလွန်အကျွံဖြစ်သော	အလွန်အကျွံဖြစ်သော ဆူညံသံက အိမ်နီးချင်းများကို အနှောင့်အယှက်ဖြစ်စေသည်။
exclude	ဖယ်ထုတ်သည်	ထိုစာရင်းက ယာယီအလုပ်သမားများကို ဖယ်ချန်ထားသည်။
exhibit	ပြကွက်	ပြတိုက်က ရှားပါးဓာတ်ပုံများကို ပြသလိမ့်မည်။
exit	ထွက်ပေါက်	ထွက်ပေါက်က စင်မြင့်နောက်တွင် ရှိသည်။
exotic	ထူးခြားဆန်းပြားသော	ထိုဆိုင်က ရှားပါးထူးခြားသော သစ်သီးများကို ရောင်းချသည်။
expansion	တိုးချဲ့မှု	ကုမ္ပဏီက တိုးချဲ့ခြင်းတစ်ခုကို စီစဉ်ခဲ့သည်။
expertise	ကျွမ်းကျင်မှု	သူမ၏ ကျွမ်းကျင်မှုက စီမံကိန်းကို တိုးတက်စေခဲ့သည်။
exploit	အမြတ်ထုတ်သည်	ပြစ်မှုကျူးလွန်သူများက အားနည်းသော စကားဝှက်များကို အခွင့်ကောင်းယူကြသည်။
exposure	ထိတွေ့မှု	နေရောင်နှင့် ထိတွေ့ခြင်းက အသားအရေကို ပျက်စီးစေနိုင်သည်။
extension	သက်တမ်းတိုးခြင်း	နောက်ဆုံးရက် သက်တမ်းတိုးခြင်းက လူတိုင်းကို ကူညီပေးခဲ့သည်။
extensive	ကျယ်ပြန့်သော	စာကြည့်တိုက်တွင် ကျယ်ပြန့်သော အရင်းအမြစ်များ ရှိသည်။
extensively	ကျယ်ကျယ်ပြန့်ပြန့်	ထိုအကြောင်းအရာကို ကျယ်ကျယ်ပြန့်ပြန့် လေ့လာခဲ့သည်။
extract	ကောက်နုတ်ချက်	ဗանիလာ အဆီအနှစ်က အရသာကို ပေးစွမ်းသည်။
fabric	အထည်	ထိုအထည်က နူးညံ့သည်။
fabulous	အလွန်ကောင်းသော	အစားအစာက အလွန်ကောင်းမွန်ခဲ့သည်။
failed	ကျရှုံးသော	ထိုမအောင်မြင်သော ကြိုးပမ်းမှုက ကျွန်ုပ်တို့ကို တစ်ခုခု သင်ပေးခဲ့သည်။
fake	အတု	ထိုဝဘ်ဆိုက်က လက်မှတ်အတုများကို ရောင်းချခဲ့သည်။
fame	ကျော်ကြားမှု	ကျော်ကြားမှုက သူ၏ ကိုယ်ပိုင်ဘဝကို ပြောင်းလဲစေခဲ့သည်။
fantasy	စိတ်ကူးယဉ်	ထိုဝတ္ထုက စိတ်ကူးယဉ်တစ်ခု ဖြစ်သည်။
fare	ခရီးစရိတ်	ဘတ်စ်ကား ယာဉ်စီးခ တက်သွားသည်။
federal	ဖက်ဒရယ်	ဖက်ဒရယ်အစိုးရက ရန်ပုံငွေကို ကြေညာခဲ့သည်။
fever	အဖျား	ကလေးတွင် အဖျားရှိသည်။
firefighter	မီးသတ်သမား	မီးသတ်သမားက ခွေးကို ကယ်ဆယ်ခဲ့သည်။
firework	မီးရှူးမီးပန်း	ပန်းခြံအထက်တွင် မီးရှူးမီးပန်းတစ်ခု ပေါက်ကွဲသွားသည်။
firm	ခိုင်မာသော	မွေ့ရာသည် မာကျောသည်။
firmly	ခိုင်မာစွာ	သူမသည် တံခါးကို မြဲမြံစွာ ပိတ်လိုက်သည်။
flavour	အရသာ	စွပ်ပြုတ်တွင် ပြည့်စုံသော အရသာရှိသည်။
fond	ခင်မင်သော	သူသည် ဂျက်ဇ်ဂီတကို နှစ်သက်သည်။
fool	လူမိုက်	လူမိုက်လို မပြုမူပါနှင့်။
forbid	တားမြစ်သည်	ဥပဒေက ဤနေရာတွင် ဆေးလိပ်သောက်ခြင်းကို တားမြစ်ထားသည်။
forecast	ခန့်မှန်းချက်	ခန့်မှန်းချက်အရ မိုးရွာမည်ဟု ဆိုသည်။
format	ပုံစံ	မှန်ကန်သော ဖိုင်ပုံစံကို အသုံးပြုပါ။
formation	ဖွဲ့စည်းခြင်း	တိမ်ဖွဲ့စည်းပုံသည် လျင်မြန်စွာ ပြောင်းလဲတတ်သည်။
formerly	ယခင်က	ထိုအဆောက်အအုံသည် ယခင်က ကျောင်းတစ်ကျောင်း ဖြစ်ခဲ့သည်။
fortunate	ကံကောင်းသော	စောစောရောက်ရန် ကျွန်ုပ်တို့ ကံကောင်းခဲ့သည်။
forum	ဖိုရမ်	ဆွေးနွေးပွဲတွင် ရာသီဥတုဆိုင်ရာ မူဝါဒကို ဆွေးနွေးခဲ့ကြသည်။
fossil	ကျောက်ဖြစ်ရုပ်ကြွင်း	ရုပ်ကြွင်းကို ကျောက်တုံးထဲတွင် တွေ့ရှိခဲ့သည်။
foundation	အခြေခံ	အိမ်တွင် ခိုင်ခံ့သော အုတ်မြစ်ရှိသည်။
founder	တည်ထောင်သူ	တည်ထောင်သူသည် ဧည့်သည်များကို ကြိုဆိုခဲ့သည်။
fraction	အပိုင်းကိန်း	ကျောင်းသား အနည်းငယ်သော အစိတ်အပိုင်းသာ လာခဲ့ကြသည်။
fragment	အပိုင်းအစ	ဖန်ကွဲစတစ်ခု ကြမ်းပြင်ပေါ်တွင် ရှိနေသည်။
framework	မူဘောင်	ဥပဒေသည် ရှင်းလင်းသော မူဘောင်တစ်ခုကို ဖန်တီးပေးသည်။
fraud	လိမ်လည်မှု	ဘဏ်က လိမ်လည်မှုကို စစ်ဆေးတွေ့ရှိခဲ့သည်။
freely	လွတ်လပ်စွာ	ကလေးများသည် အပြင်ဘက်တွင် လွတ်လပ်စွာ ကစားခဲ့ကြသည်။
frequent	မကြာခဏဖြစ်သော	မကြာခဏ အနားယူခြင်းသည် အာရုံစူးစိုက်မှုကို တိုးတက်စေသည်။
fulfil	ဖြည့်ဆည်းသည်	ကျွန်ုပ်၏ ကတိကို ဖြည့်ဆည်းနိုင်ရန် မျှော်လင့်ပါသည်။
full-time	အချိန်ပြည့်	သူမတွင် အချိန်ပြည့် အလုပ်တစ်ခု ရှိသည်။
fundamentally	အခြေခံအားဖြင့်	အစီအစဉ်သည် အခြေခံအားဖြင့် ကွဲပြားသည်။
furious	ဒေါသထွက်သော	ကြန့်ကြာမှုအတွက် သူသည် ဒေါသထွက်နေခဲ့သည်။
gaming	ဂိမ်းကစားခြင်း	ဂိမ်းကစားခြင်းသည် တုံ့ပြန်မှုအရှိန်ကို တိုးတက်စေနိုင်သည်။
gay	လိင်တူချစ်သူ	သူသည် လိင်တူချစ်သူများ၏ အခွင့်အရေးကို ထောက်ခံသည်။
gender	လိင်	စစ်တမ်းက လိင်အကြောင်း မေးမြန်းခဲ့သည်။
gene	မျိုးရိုးဗီဇ	မျိုးရိုးဗီဇသည် မျက်လုံးအရောင်ကို သက်ရောက်မှုရှိသည်။
genetic	မျိုးရိုးဗီဇဆိုင်ရာ	ထိုရောဂါတွင် မျိုးရိုးဗီဇဆိုင်ရာ အကြောင်းရင်းများ ရှိသည်။
genius	ပါရမီရှင်	လူငယ်စန္ဒရားတီးခတ်သူသည် ပါရမီရှင်တစ်ဦး ဖြစ်သည်။
genuine	စစ်မှန်သော	သူမ၏ အပြုံးသည် စစ်မှန်ပုံရသည်။
genuinely	စစ်မှန်စွာ	သူသည် အမှန်တကယ် ကူညီချင်ခဲ့သည်။
gesture	အမူအရာ	သူမသည် ရင်းနှီးသော လက်ဟန်ခြေဟန်ကို ပြသခဲ့သည်။
gig	ဖျော်ဖြေပွဲ	တေးဂီတအဖွဲ့သည် မြို့ထဲတွင် ဖျော်ဖြေပွဲတစ်ခု ပြုလုပ်ခဲ့သည်။
globalization	ဂလိုဘယ်လိုက်ဇေးရှင်း	ဂလိုဘယ်လိုက်ဇေးရှင်းသည် ဒေသတွင်း စီးပွားရေးလုပ်ငန်းများကို သက်ရောက်မှုရှိသည်။
globe	ကမ္ဘာလုံး	ကမ္ဘာလုံးတွင် တိုက်တိုင်းကို ပြသထားသည်။
golden	ရွှေရောင်	နေဝင်ချိန်သည် ရွှေရောင်သို့ ပြောင်းလဲသွားသည်။
goodness	ကောင်းမြတ်ခြင်း	သူမသည် လူသားတို့၏ ကောင်းမြတ်ခြင်းကို ယုံကြည်သည်။
gorgeous	လှပသော	ဥယျာဉ်သည် အလွန်လှပပုံရသည်။
governor	အုပ်ချုပ်ရေးမှူး	အုပ်ချုပ်ရေးမှူးက ဥပဒေကြမ်းကို လက်မှတ်ရေးထိုးခဲ့သည်။
graphic	ရုပ်ပြ	ပီပြင်သော ပုံရိပ်သည် ကြည့်ရှုသူများကို တုန်လှုပ်စေခဲ့သည်။
graphics	ဂရပ်ဖစ်	ဂိမ်းတွင် ရိုးရှင်းသော ဂရပ်ဖစ်များ ပါရှိသည်။
greatly	အလွန်အမင်း	သင့်အကြံဉာဏ်သည် များစွာ အထောက်အကူဖြစ်ခဲ့သည်။
greenhouse	ဖန်လုံအိမ်	ခရမ်းချဉ်သီးများကို ဖန်လုံအိမ်အတွင်း စိုက်ပျိုးကြသည်။
grocery	ကုန်စုံဆိုင်	သူမသည် အလုပ်ဆင်းပြီးနောက် ကုန်ခြောက်များကို ဝယ်ခဲ့သည်။
guideline	လမ်းညွှန်ချက်	လမ်းညွှန်ချက်က လုံခြုံသော လုပ်ထုံးလုပ်နည်းကို ရှင်းပြထားသည်။
habitat	နေရင်းဒေသ	တောအုပ်သည် ငှက်တို့၏ နေရင်းဒေသ ဖြစ်သည်။
harbour	ဆိပ်ကမ်း	လှေသည် ဆိပ်ကမ်းသို့ ဝင်ရောက်လာသည်။
headquarters	ရုံးချုပ်	ကုမ္ပဏီရုံးချုပ်သည် မြို့ထဲသို့ ပြောင်းရွှေ့သွားသည်။
