source_headword	MY	example_MY
rebuild	ပြန်လည်တည်ဆောက်သည်	သူတို့သည် တံတားကို ပြန်လည်တည်ဆောက်ကြမည်။
receiver	ဖမ်းသူ	ဖမ်းသူသည် ဘောလုံးကို ဖမ်းမိခဲ့သည်။
recession	စီးပွားရေးကျဆင်းမှု	စီးပွားရေးကျဆင်းမှုကြောင့် အသုံးစရိတ် လျော့ကျသွားသည်။
reckon	ထင်သည်	ရထားနောက်ကျမည်ဟု ကျွန်တော်ထင်သည်။
recognition	အသိအမှတ်ပြုမှု	သူမ၏လုပ်ဆောင်မှုအတွက် အသိအမှတ်ပြုခံရသည်။
recovery	ပြန်လည်ကောင်းမွန်လာခြင်း	ပြန်လည်ကောင်းမွန်လာရန် ရက်သတ္တပတ်အနည်းငယ် ကြာခဲ့သည်။
recruit	လူသစ်စုဆောင်းသည်	ကုမ္ပဏီသည် အင်ဂျင်နီယာများကို အလုပ်ခန့်မည်။
recruitment	လူသစ်စုဆောင်းခြင်း	လူသစ်စုဆောင်းခြင်းကို လာမည့်တနင်္လာနေ့တွင် စတင်မည်။
referee	ဒိုင်လူကြီး	ဒိုင်လူကြီးက ပွဲကို ရပ်နားခဲ့သည်။
refugee	ဒုက္ခသည်	ဒုက္ခသည်သည် ဘေးကင်းသောအိမ်တစ်လုံးကို ရှာတွေ့ခဲ့သည်။
registration	မှတ်ပုံတင်ခြင်း	မှတ်ပုံတင်ခြင်းကို သောကြာနေ့တွင် ပိတ်မည်။
regulate	စည်းမျဉ်းသတ်မှတ်သည်	ဥပဒေသည် ဓာတ်ငွေ့ထုတ်လွှတ်မှုများကို စည်းမျဉ်းသတ်မှတ်မည်။
reinforce	ခိုင်ခံ့စေသည်	အပိုထုပ်တန်းများသည် အမိုးကို ခိုင်ခံ့စေသည်။
relieve	သက်သာစေသည်	ဆေးသည် နာကျင်မှုကို သက်သာစေနိုင်သည်။
relieved	စိတ်သက်သာရာရသော	ဖုန်းခေါ်ပြီးနောက် သူမသည် စိတ်သက်သာရာရသွားသည်။
remarkable	ထူးခြားသော	ပြန်လည်ကောင်းမွန်လာမှုမှာ ထူးခြားလှသည်။
remarkably	ထူးထူးခြားခြား	သူသည် ထူးထူးခြားခြား မြန်မြန်ဆန်ဆန် ပြန်လည်ကောင်းမွန်လာခဲ့သည်။
reporting	သတင်းတင်ပြခြင်း	တိကျသော သတင်းတင်ပြခြင်းသည် အရေးကြီးသည်။
resign	နုတ်ထွက်သည်	မန်နေဂျာသည် မနက်ဖြန်တွင် ရာထူးမှ နုတ်ထွက်မည်။
resolution	ရုပ်ထွက်	မျက်နှာပြင်တွင် ရုပ်ထွက်ကြည်လင်ပြတ်သားမှုမြင့်မားသည်။
restore	ပြန်လည်ပြုပြင်သည်	အလုပ်သမားများသည် ပန်းချီကားဟောင်းကို ပြန်လည်ပြုပြင်ကြသည်။
restrict	ကန့်သတ်သည်	စည်းမျဉ်းများသည် ကားပါကင်ကို ကန့်သတ်ထားသည်။
restriction	ကန့်သတ်ချက်	ကန့်သတ်ချက်သည် မနက်ဖြန်တွင် ပြီးဆုံးမည်။
retail	လက်လီရောင်းချခြင်း	လက်လီအရောင်း မြင့်တက်လာသည်။
retirement	အငြိမ်းစားယူခြင်း	သူမသည် သူမ၏ အငြိမ်းစားယူမှုကို ဂရုတစိုက် စီစဉ်ခဲ့သည်။
revenue	ဝင်ငွေ	လက်မှတ်မှရသောဝင်ငွေဖြင့် ပြုပြင်စရိတ်များကို ပေးချေခဲ့သည်။
revision	ပြန်လည်လေ့လာခြင်း	စာမေးပွဲမတိုင်မီ ပြန်လည်လေ့လာခြင်းက အထောက်အကူဖြစ်စေသည်။
ridiculous	ယုတ္တိမရှိသော	စျေးနှုန်းသည် ယုတ္တိမရှိပေ။
risky	အန္တရာယ်များသော	အစီအစဉ်သည် အန္တရာယ်များပုံရသည်။
rival	ပြိုင်ဘက်	ကျွန်ုပ်တို့၏ ပြိုင်ဘက်သည် ဆိုင်သစ်တစ်ဆိုင် ဖွင့်လှစ်ခဲ့သည်။
rob	ဓားပြတိုက်သည်	အမျိုးသားများသည် ဘဏ်ကို ဓားပြတိုက်ခဲ့ကြသည်။
robbery	ဓားပြတိုက်မှု	ဓားပြတိုက်မှုသည် ညဘက်တွင် ဖြစ်ပွားခဲ့သည်။
rocket	ဒုံးပျံ	ဒုံးပျံကို အောင်မြင်စွာ လွှတ်တင်နိုင်ခဲ့သည်။
romance	အချစ်ဇာတ်လမ်း	ဝတ္ထုတွင် အချစ်ဇာတ်လမ်းပါဝင်သည်။
rose	နှင်းဆီ	ခြံစည်းရိုးဘေးတွင် နှင်းဆီနီတစ်ပွင့် ပေါက်နေသည်။
roughly	ခန့်မှန်းခြေ	လူနှစ်ဆယ်ခန့် တက်ရောက်ခဲ့ကြသည်။
ruin	ပျက်စီးစေသည်	မိုးရွာသဖြင့် ပျော်ပွဲစားထွက်ခြင်း ပျက်စီးသွားနိုင်သည်။
satisfaction	ကျေနပ်မှု	ဖောက်သည်များ၏ ကျေနပ်မှု တိုးတက်လာသည်။
scandal	အရှုပ်တော်ပုံ	အရှုပ်တော်ပုံသည် သူ၏အသက်မွေးဝမ်းကျောင်းမှုကို ထိခိုက်စေခဲ့သည်။
scare	အလန့်တကြားဖြစ်ခြင်း	ကျယ်လောင်သောအသံကြောင့် ကျွန်တော် လန့်သွားသည်။
scenario	ဖြစ်နိုင်ခြေ	အဆိုးရွားဆုံးဖြစ်နိုင်ခြေက မဖြစ်နိုင်သလောက်ပါပဲ။
scholar	ပညာရှင်	ပညာရှင်သည် ရှေးဟောင်းစာသားများကို လေ့လာခဲ့သည်။
scholarship	ပညာသင်ဆု	သူမသည် ပညာသင်ဆုတစ်ခု ရရှိခဲ့သည်။
scratch	ကုတ်ရာ	ကြောင်က ကုတ်ရာတစ်ခု ချန်ထားရစ်သည်။
screening	စစ်ဆေးခြင်း	ဆေးရုံသည် ကင်ဆာစစ်ဆေးခြင်းကို ပံ့ပိုးပေးသည်။
seeker	ရှာဖွေသူ	အလုပ်ရှာဖွေသူသည် လျှောက်လွှာများကို ပေးပို့ခဲ့သည်။
seminar	ဆွေးနွေးပွဲ	ဆွေးနွေးပွဲကို နံနက်ကိုးနာရီတွင် စတင်မည်။
settler	အခြေချနေထိုင်သူ	အခြေချနေထိုင်သူသည် ခြံငယ်တစ်ခုကို တည်ဆောက်ခဲ့သည်။
severely	ပြင်းထန်စွာ	မုန်တိုင်းသည် လမ်းများကို ပြင်းထန်စွာ ပျက်စီးစေခဲ့သည်။
sexy	ဆွဲဆောင်မှုရှိသော	ဝတ်စုံသည် ဆွဲဆောင်မှုရှိသည်ဟု ယူဆရသည်။
shocking	အံ့သြတုန်လှုပ်ဖွယ်	သတင်းက အံ့သြတုန်လှုပ်ဖွယ်ဖြစ်သည်။
shore	ကမ်းစပ်	ကျွန်တော်တို့ ကမ်းစပ်တစ်လျှောက် လမ်းလျှောက်ခဲ့ကြသည်။
shortage	ရှားပါးမှု	မြို့သည် ရေရှားပါးမှုနှင့် ရင်ဆိုင်ခဲ့ရသည်။
shortly	မကြာမီ	နေ့လည်ပြီးမကြာမီ ဘတ်စ်ကားရောက်လာသည်။
short-term	ရေတို	အစီအစဉ်တွင် ရေတိုအကျိုးကျေးဇူးများရှိသည်။
sibling	မောင်နှမ	မောင်နှမတစ်ဦးစီသည် လက်ဆောင်တစ်ခုရရှိခဲ့သည်။
signature	လက်မှတ်	ကျေးဇူးပြု၍ သင့်လက်မှတ်ကို ထည့်ပါ။
significance	အရေးပါမှု	တွေ့ရှိချက်သည် ကြီးမားသောအရေးပါမှုရှိသည်။
skilled	ကျွမ်းကျင်သော	ကျွမ်းကျင်အလုပ်သမားများသည် အမိုးကို ပြုပြင်ခဲ့ကြသည်။
slogan	ဆောင်ပုဒ်	ကမ်ပိန်းတွင် ရိုးရှင်းသော ဆောင်ပုဒ်ကို အသုံးပြုခဲ့သည်။
so-called	အမည်ခံ	အမည်ခံပညာရှင်သည် အမှားများပြုလုပ်ခဲ့သည်။
somehow	တစ်နည်းနည်းဖြင့်	တစ်နည်းနည်းဖြင့် သော့များ ပျောက်သွားသည်။
sometime	တစ်ချိန်ချိန်	လာမည့်ရက်သတ္တပတ်၏ တစ်ချိန်ချိန်တွင် ကျွန်ုပ်တို့ထံ လာလည်ပါ။
sophisticated	ခေတ်မီဆန်းပြားသော	ဆော့ဖ်ဝဲလ်သည် ခေတ်မီဆန်းပြားသည်။
spare	အပို	ကျွန်ုပ်တို့တွင် အပိုသော့တစ်ချောင်း ထားရှိသည်။
specialize	အထူးပြုသည်	ဆရာဝန်များသည် နယ်ပယ်အသီးသီးတွင် အထူးပြုကြသည်။
specify	တိတိကျကျဖော်ပြသည်	သင်ရောက်ရှိမည့်အချိန်ကို တိတိကျကျဖော်ပြပေးပါ။
spectacular	ခမ်းနားသော	မီးရှူးမီးပန်းများသည် ခမ်းနားလှသည်။
spectator	ပွဲကြည့်ပရိသတ်	ပွဲကြည့်ပရိသတ်တစ်ဦးစီသည် အစီအစဉ်တစ်ခုကို ရရှိခဲ့သည်။
speculate	ခန့်မှန်းသည်	ပညာရှင်များသည် အကြောင်းရင်းကို ခန့်မှန်းကြသည်။
speculation	ခန့်မှန်းချက်	ဆောင်းပါးသည် ခန့်မှန်းချက်များကို အားပေးခဲ့သည်။
spice	ဟင်းခတ်အမွှေးအကြိုင်	ဟင်းခတ်အမွှေးအကြိုင် တစ်မျိုးစီထည့်ပါ။
spill	ဖိတ်စင်သည်	ဖျော်ရည်ကို မဖိတ်စင်စေပါနှင့်။
spite	သော်လည်း	ပြဿနာများရှိသော်လည်း သူအောင်မြင်ခဲ့သည်။
spoil	ပျက်စီးစေသည်	ဆားများလွန်းလျှင် ဟင်းရည်ကို ပျက်စီးစေနိုင်သည်။
spokesman	ပြောရေးဆိုခွင့်ရှိသူ	ပြောရေးဆိုခွင့်ရှိသူက မေးခွန်းများကို ဖြေကြားခဲ့သည်။
spokesperson	ပြောရေးဆိုခွင့်ရှိသူ	ပြောရေးဆိုခွင့်ရှိသူက ကြေညာချက်တစ်ခုကို ဖတ်ကြားခဲ့သည်။
spokeswoman	ပြောရေးဆိုခွင့်ရှိသူမ	ပြောရေးဆိုခွင့်ရှိသူမက သတင်းမီဒီယာများကို ဖြေကြားခဲ့သည်။
sponsorship	ပံ့ပိုးကူညီမှု	အသင်းသည် ပံ့ပိုးကူညီမှု လိုအပ်နေသည်။
sporting	အားကစားဆိုင်ရာ	မြို့သည် အားကစားဆိုင်ရာပွဲများကို အိမ်ရှင်အဖြစ် ကျင်းပသည်။
stall	ဆိုင်ခန်း	စျေးဆိုင်ခန်းတွင် သစ်သီးများကို ရောင်းချသည်။
stance	ရပ်တည်ချက်	ဝန်ကြီးက သူ၏ရပ်တည်ချက်ကို ပြောင်းလဲခဲ့သည်။
starve	အစာငတ်သည်	အစားအစာမရှိလျှင် တိရစ္ဆာန်များ အစာငတ်နိုင်သည်။
steadily	တည်ငြိမ်စွာ	ကုမ္ပဏီသည် တည်ငြိမ်စွာ တိုးတက်လာခဲ့သည်။
steam	ရေနွေးငွေ့	ဟင်းရည်မှ ရေနွေးငွေ့များ ထွက်လာသည်။
stimulate	နှိုးဆွပေးသည်	တောက်ပသောအရောင်များသည် စိတ်ဝင်စားမှုကို နှိုးဆွပေးနိုင်သည်။
