source_headword	TA	example_TA
hostage	பிணைக்கைதி	பிணைக்கைதி வீடு திரும்பினார்.
hostile	விரோதமான	கூட்டம் விரோதமாக மாறியது.
hostility	பகைமை	வெளிப்படையான பகைமை பேச்சுவார்த்தைகளை முடிவுக்குக் கொண்டுவந்தது.
humanitarian	மனிதாபிமான	மனிதாபிமான பணி உணவை வழங்கியது.
humanity	மனிதகுலம்	மனிதகுலம் பொதுவான சவால்களை எதிர்கொள்கிறது.
humble	பணிவான	வெற்றிக்குப் பிறகும் அவள் பணிவாக இருந்தாள்.
hydrogen	ஹைட்ரஜன்	ஹைட்ரஜன் மிக எளிதில் எரியும்.
identification	அடையாளம்	நுழைவாயிலில் அடையாளம் தேவை.
ideological	சித்தாந்த	தகராறு சித்தாந்த வேர்களைக் கொண்டிருந்தது.
ideology	சித்தாந்தம்	அவரது சித்தாந்தம் ஒவ்வொரு உரையையும் வடிவமைத்தது.
idiot	முட்டாள்	யாரையும் முட்டாள் என்று அழைக்காதீர்கள்.
ignorance	அறியாமை	அறியாமை பயத்தை பரப்பலாம்.
imagery	உருவகங்கள்	கவிதை தெளிவான உருவகங்களைப் பயன்படுத்துகிறது.
immense	பிரம்மாண்டமான	திட்டத்திற்கு பிரம்மாண்டமான முயற்சி தேவைப்பட்டது.
imminent	உடனடியான	ஒரு புயல் உடனடி எனத் தோன்றியது.
implementation	செயல்படுத்துதல்	சட்டத்தை செயல்படுத்துவது மெதுவாக இருந்தது.
imprison	சிறையிலிடு	ஆட்சி விமர்சகர்களை சிறையிலடைக்க முயன்றது.
imprisonment	சிறைத்தண்டனை	அவனது சிறைத்தண்டனை ஐந்து ஆண்டுகள் நீடித்தது.
inability	இயலாமை	அவள் கவனம் செலுத்த இயலாமை ஆசிரியர்களை கவலையடையச் செய்தது.
inadequate	போதுமானதல்லாத	தங்குமிடத்தில் போதுமான வெப்ப வசதி இல்லை.
inappropriate	பொருத்தமற்ற	அவனுடைய நகைச்சுவை பொருத்தமற்றதாக இருந்தது.
incidence	நிகழ்வு	காய்ச்சல் நிகழ்வு அதிகரித்தது.
inclined	நாட்டம் கொண்ட	அவள் ஒப்புக்கொள்வதில் நாட்டம் கொண்டுள்ளாள்.
inclusion	சேர்த்தல்	பள்ளி அனைவரையும் சேர்ப்பதை ஊக்குவிக்கிறது.
