source_headword	TA	example_TA
correspond	ஒத்திரு	இந்த எண்கள் லேபிள்களுடன் ஒத்திருக்கின்றன.
correspondence	கடிதப் போக்குவரத்து	அவர்களின் கடிதப் போக்குவரத்து பல ஆண்டுகளாக நீடித்தது.
correspondent	நிருபர்	கெய்ரோவில் இருந்து நிருபர் அறிக்கை அளித்தார்.
corresponding	தொடர்புடைய	ஒவ்வொரு பொத்தானுக்கும் தொடர்புடைய விளக்கு உள்ளது.
corrupt	ஊழல்வாதியான	ஊழல் அதிகாரி பணத்தை ஏற்றுக்கொண்டார்.
corruption	ஊழல்	ஊழல் மக்கள் நம்பிக்கையை பலவீனப்படுத்தியது.
costly	விலையுயர்ந்த	இந்த பிழை அணிக்கு விலையுயர்ந்ததாக இருந்தது.
councillor	கவுன்சிலர்	கவுன்சிலர் குடியிருப்பாளர்களின் கேள்விகளுக்கு பதிலளித்தார்.
counselling	ஆலோசனை	விபத்துக்குப் பிறகு அவர் ஆலோசனை பெற்றார்.
counsellor	ஆலோசகர்	ஆலோசகர் புதிய மாணவர்களுக்கு உதவினார்.
counter (argue against)	எதிர்வாதம் செய்	அவனது வாதத்தை எதிர்கொள்ள முயன்றாள்.
counterpart	சகப் பணியாளர்	அவர் தனது ஜப்பானிய சகப் பணியாளரை சந்தித்தார்.
countless	எண்ணற்ற	தேடலில் எண்ணற்ற தன்னார்வலர்கள் இணைந்தனர்.
coup	சதிப்புரட்சி	சதிப்புரட்சி ஜனாதிபதியை அகற்றியது.
courtesy	மரியாதை	அவர்களின் மரியாதைக்கு அவள் நன்றி தெரிவித்தாள்.
