source_headword	TA	example_TA
premise	முன்மாதிரி	வாதம் தவறான முன்மாதிரியை அடிப்படையாகக் கொண்டது.
premium	பிரீமியம்	வாடிக்கையாளர்கள் வேகத்திற்கு பிரீமியம் செலுத்தினர்.
prescribe	பரிந்துரைக்கிறார்கள்	மருத்துவர்கள் நுண்ணுயிர் எதிர்ப்பிகளை கவனமாக பரிந்துரைக்கிறார்கள்.
prescription	மருந்து சீட்டு	மருந்து சீட்டு அடுத்த மாதம் முடிவடைகிறது.
presently	தற்போது	அவர் தற்போது கிடைக்கவில்லை.
preservation	பாதுகாப்பு	பாதுகாப்பு வரலாற்று கட்டிடங்களை பாதுகாக்கிறது.
preside	தலைமை தாங்குவார்	நீதிபதி விசாரணைக்கு தலைமை தாங்குவார்.
presidency	ஜனாதிபதி பதவி	அவரது ஜனாதிபதி பதவி எட்டு ஆண்டுகள் நீடித்தது.
presidential	ஜனாதிபதி	ஜனாதிபதி தேர்தல் கவனத்தை ஈர்த்தது.
prestigious	மதிப்புமிக்க	அவள் ஒரு மதிப்புமிக்க உதவித்தொகையை வென்றாள்.
presumably	அநேகமாக	அலுவலகம் அநேகமாக இன்று மூடப்பட்டிருக்கும்.
presume	கருதுகிறோம்	ஆவணங்கள் உண்மையானவை என்று நாங்கள் கருதுகிறோம்.
prevail	மேலோங்கும்	பொது அறிவு மேலோங்க வேண்டும்.
prevalence	பரவல்	ஆஸ்துமாவின் பரவல் அதிகரித்துள்ளது.
prevention	தடுப்பு	பழுதுபார்ப்பதை விட தடுப்பு மலிவானது.
