simplified	MY	example_MY	KM	example_KM	LO	example_LO
逛	လျှောက်လည်သည်; လှည့်ကြည့်သည်	စနေ၊ တနင်္ဂနွေမှာ ကုန်တိုက်ကို လျှောက်လည်ကြရအောင်။	ដើរលេង; ដើរមើល	ចុងសប្តាហ៍យើងទៅដើរមើលនៅផ្សារទំនើបជាមួយគ្នា។	ຍ່າງເບິ່ງ; ເດີນຫຼິ້ນ	ທ້າຍອາທິດນີ້ພວກເຮົາໄປຍ່າງເບິ່ງສູນການຄ້າກັນເຖີດ.
规定	စည်းမျဉ်း; သတ်မှတ်ချက်	ကျောင်းတွင် ကိုယ်ပိုင်စည်းမျဉ်းများ ရှိသည်။	បទប្បញ្ញត្តិ; ច្បាប់	សាលាមានបទប្បញ្ញត្តិរបស់ខ្លួន។	ກົດລະບຽບ; ຂໍ້ກຳນົດ	ໂຮງຮຽນມີກົດລະບຽບຂອງຕົນເອງ.
国籍	နိုင်ငံသားဖြစ်မှု	ကျေးဇူးပြု၍ ပုံစံစာရွက်ပေါ်တွင် နိုင်ငံသားဖြစ်မှုကို ဖြည့်ပါ။	សញ្ជាតិ	សូមបំពេញសញ្ជាតិនៅលើសំណុំបែបបទ។	ສັນຊາດ	ກະລຸນາຕື່ມສັນຊາດໃນແບບຟອມ.
国际	နိုင်ငံတကာ	ဤသည် နိုင်ငံတကာအစည်းအဝေးတစ်ခု ဖြစ်သည်။	អន្តរជាតិ	នេះជាកិច្ចប្រជុំអន្តរជាតិមួយ។	ສາກົນ; ນານາຊາດ	ນີ້ແມ່ນກອງປະຊຸມນານາຊາດຄັ້ງໜຶ່ງ.
果汁	သစ်သီးဖျော်ရည်	ကျွန်တော် သစ်သီးဖျော်ရည် တစ်ခွက် သောက်ချင်သည်။	ទឹកផ្លែឈើ	ខ្ញុំចង់ផឹកទឹកផ្លែឈើមួយកែវ។	ນ້ຳໝາກໄມ້	ຂ້ອຍຢາກດື່ມນ້ຳໝາກໄມ້ໜຶ່ງຈອກ.
过程	ဖြစ်စဉ်; လုပ်ငန်းစဉ်	သင်ယူခြင်း၏ ဖြစ်စဉ်သည် အလွန်အရေးကြီးသည်။	ដំណើរការ	ដំណើរការនៃការរៀនសំខាន់ណាស់។	ຂະບວນການ; ຂັ້ນຕອນ	ຂະບວນການຮຽນຮູ້ສຳຄັນຫຼາຍ.
海洋	သမုဒ္ဒရာ	ကမ္ဘာမြေ၏ မျက်နှာပြင်အများစုမှာ သမုဒ္ဒရာ ဖြစ်သည်။	សមុទ្រ; មហាសមុទ្រ	ផ្ទៃភាគច្រើននៃផែនដីគឺសមុទ្រ។	ມະຫາສະໝຸດ	ພື້ນຜິວສ່ວນໃຫຍ່ຂອງໂລກແມ່ນມະຫາສະໝຸດ.
害羞	ရှက်တတ်သော	သူမ ပထမဆုံး စင်ပေါ်တက်တော့ နည်းနည်းရှက်သည်။	ខ្មាស់អៀន	នាងឡើងឆាកលើកដំបូង មានអារម្មណ៍ខ្មាស់អៀនបន្តិច។	ຂີ້ອາຍ; ອາຍ	ນາງຂຶ້ນເວທີຄັ້ງທຳອິດ ເລີຍອາຍໜ້ອຍໜຶ່ງ.
寒假	ဆောင်းရာသီကျောင်းပိတ်ရက်	ဆောင်းရာသီကျောင်းပိတ်ရက်မှာ တောင်ပိုင်းသို့ ခရီးသွားချင်သည်။	វិស្សមកាលរដូវរងា	វិស្សមកាលរដូវរងា ខ្ញុំចង់ទៅធ្វើដំណើរទៅភាគខាងត្បូង។	ພັກລະດູໜາວ	ຊ່ວງພັກລະດູໜາວ ຂ້ອຍຢາກໄປທ່ຽວທາງພາກໃຕ້.
汗	ချွေး	ပူနေပြီနော်၊ တဘက်နဲ့ ချွေးသုတ်လိုက်ပါ။	ញើស	ក្តៅហើយមែនទេ ប្រើកន្សែងជូតញើសទៅ។	ເຫື່ອ	ຮ້ອນແລ້ວແມ່ນບໍ ໃຊ້ຜ້າເຊັດໂຕເຊັດເຫື່ອເຖີດ.
航班	လေယာဉ်ခရီးစဉ်	ဤလေယာဉ်ခရီးစဉ်ကို စီးနင်းလာသည့်အတွက် ကြိုဆိုပါသည်။	ជើងហោះហើរ	សូមស្វាគមន៍ដែលបានជិះជើងហោះហើរនេះ។	ຖ້ຽວບິນ	ຍິນດີຕ້ອນຮັບທ່ານທີ່ໂດຍສານຖ້ຽວບິນນີ້.
好处	အကျိုးကျေးဇူး; အားသာချက်	စာများများဖတ်ခြင်းတွင် အကျိုးကျေးဇူးများစွာ ရှိသည်။	អត្ថប្រយោជន៍; គុណសម្បត្តិ	ការអានច្រើនមានអត្ថប្រយោជន៍ច្រើន។	ຜົນດີ; ປະໂຫຍດ	ການອ່ານຫຼາຍມີປະໂຫຍດຫຼາຍ.
好像	ထင်ရသည်; ကဲ့သို့	ကျွန်တော်တို့ကြားမှာ နားလည်မှုလွဲနေသလို ထင်ရသည်။	ហាក់ដូចជា	ហាក់ដូចជាមានការយល់ច្រឡំរវាងយើង។	ຄືວ່າ; ເບິ່ງຄື	ຄືວ່າລະຫວ່າງພວກເຮົາມີການເຂົ້າໃຈຜິດ.
号码	နံပါတ်	ကျေးဇူးပြု၍ မင်းရဲ့ ဖုန်းနံပါတ်ကို ကျွန်တော့်ကို ပေးပါ။	លេខ	សូមផ្តល់លេខទូរស័ព្ទរបស់អ្នកឱ្យខ្ញុំ។	ເລກ; ໝາຍເລກ	ກະລຸນາໃຫ້ເບີໂທລະສັບຂອງເຈົ້າແກ່ຂ້ອຍ.
合格	အရည်အချင်းပြည့်မီသော; စံမီသော	ဒီထုတ်ကုန်၏ အရည်အသွေးသည် စံမီသည်။	មានលក្ខណៈសម្បត្តិគ្រប់គ្រាន់; ត្រូវស្តង់ដារ	គុណភាពផលិតផលនេះត្រូវស្តង់ដារ។	ໄດ້ມາດຕະຖານ; ຜ່ານເກນ	ຄຸນນະພາບຂອງສິນຄ້ານີ້ໄດ້ມາດຕະຖານ.
合适	သင့်တော်သော; ကိုက်ညီသော	ဒီဖိနပ်တစ်စုံက အလွန်ကိုက်သည်။	សមរម្យ; សម	ស្បែកជើងមួយគូនេះសមណាស់។	ເໝາະສົມ; ພໍດີ	ເກີບຄູ່ນີ້ພໍດີຫຼາຍ.
盒子	သေတ္တာ	သေတ္တာထဲမှာ လွတ်နေပြီး ဘာမှမရှိဘူး။	ប្រអប់	ក្នុងប្រអប់ទទេ គ្មានអ្វីទេ។	ກ່ອງ	ໃນກ່ອງວ່າງເປົ່າ ບໍ່ມີຫຍັງ.
厚	ထူသော	ဒီစာအုပ်က အလွန်ထူသည်။	ក្រាស់	សៀវភៅនេះក្រាស់ណាស់។	ໜາ	ປື້ມນີ້ໜາຫຼາຍ.
后悔	နောင်တရသည်	မင်းကို စောစော မပြောခဲ့တာ နောင်တရတယ်။	ស្តាយក្រោយ	ខ្ញុំស្តាយក្រោយដែលមិនបានប្រាប់អ្នកឱ្យលឿនជាងនេះ។	ເສຍໃຈພາຍຫຼັງ	ຂ້ອຍເສຍໃຈທີ່ບໍ່ໄດ້ບອກເຈົ້າໄວກວ່ານີ້.
互联网	အင်တာနက်	အင်တာနက်သည် လူတို့၏ဘဝထဲသို့ အဆင်ပြေမှုများစွာ ယူဆောင်လာသည်။	អ៊ីនធឺណិត	អ៊ីនធឺណិតបាននាំភាពងាយស្រួលច្រើនមកដល់ជីវិតមនុស្ស។	ອິນເຕີເນັດ	ອິນເຕີເນັດໄດ້ນຳຄວາມສະດວກຫຼາຍຢ່າງມາສູ່ຊີວິດຜູ້ຄົນ.
互相	အပြန်အလှန်	ကျွန်တော်တို့နှစ်ယောက် အပြန်အလှန် ထောက်ခံရမည်။	គ្នាទៅវិញទៅមក	យើងទាំងពីរត្រូវគាំទ្រគ្នាទៅវិញទៅមក។	ເຊິ່ງກັນແລະກັນ	ພວກເຮົາສອງຄົນຕ້ອງສະໜັບສະໜູນເຊິ່ງກັນແລະກັນ.
护士	သူနာပြု	သူနာပြုက လူနာကို ဆေးထိုးနေသည်။	គិលានុបដ្ឋាក	គិលានុបដ្ឋាកកំពុងចាក់ថ្នាំឱ្យអ្នកជំងឺ។	ພະຍາບານ	ພະຍາບານກຳລັງສັກຢາໃຫ້ຄົນເຈັບ.
怀疑	သံသယရှိသည်; သံသယ	သူ ဒီနေ့ အစည်းအဝေးရှိတာ မေ့သွားတယ်လို့ ကျွန်တော် သံသယရှိသည်။	សង្ស័យ; ការសង្ស័យ	ខ្ញុំសង្ស័យថាគាត់ភ្លេចថាថ្ងៃនេះមានប្រជុំ។	ສົງໄສ; ຄວາມສົງໄສ	ຂ້ອຍສົງໄສວ່າລາວລືມວ່າມື້ນີ້ມີປະຊຸມ.
回忆	ပြန်လည်မှတ်မိသည်; အမှတ်တရ	ကျွန်တော်တို့က ငယ်စဉ်က အကြောင်းတွေကို မကြာခဏ ပြန်လည်မှတ်မိကြသည်။	រំលឹក; អនុស្សាវរីយ៍	យើងតែងរំលឹករឿងកាលពីនៅក្មេង។	ລະນຶກ; ຄວາມຊົງຈຳ	ພວກເຮົາມັກລະນຶກເຖິງເລື່ອງຕອນເດັກ.
活动	လှုပ်ရှားသည်; လှုပ်ရှားမှု	ကျွန်တော် ပန်းခြံကို သွားပြီး ခဏ လှုပ်ရှားလေ့ကျင့်ခဲ့သည်။	ធ្វើចលនា; សកម្មភាព	ខ្ញុំទៅសួនហើយធ្វើចលនាបន្តិច។	ເຄື່ອນໄຫວ; ກິດຈະກຳ	ຂ້ອຍໄປສວນແລ້ວອອກກຳລັງກາຍຈັກໜ້ອຍ.
活泼	သွက်လက်သော; တက်ကြွသော	ဒီကလေးက အလွန်သွက်လက်သည်။	រស់រវើក; សកម្ម	ក្មេងនេះរស់រវើកណាស់។	ມີຊີວິດຊີວາ; ຄຶກຄື້ນ	ເດັກຄົນນີ້ມີຊີວິດຊີວາຫຼາຍ.
火	မီး	မီးက အန္တရာယ်ရှိသည်၊ ကျေးဇူးပြု၍ သတိထားပါ။	ភ្លើង	ភ្លើងគ្រោះថ្នាក់ សូមប្រយ័ត្ន។	ໄຟ	ໄຟອັນຕະລາຍ ກະລຸນາລະວັງ.
获得	ရရှိသည်; လက်ခံရရှိသည်	အောင်မြင်မှု ရရှိပြီးလည်း အရမ်းမော်ကြွားသင့်ပါ။	ទទួលបាន	ទោះទទួលបានជោគជ័យក៏មិនគួរមានមោទនភាពពេកទេ។	ໄດ້ຮັບ; ຮັບໄດ້	ໄດ້ຮັບຄວາມສຳເລັດແລ້ວກໍບໍ່ຄວນພູມໃຈເກີນໄປ.
基础	အခြေခံ; အုတ်မြစ်	ကျေးဇူးပြု၍ မူလအခြေခံပေါ်မှာ ထပ်ပြင်ပါ။	មូលដ្ឋាន; គ្រឹះ	សូមកែបន្តិចទៀតលើមូលដ្ឋានដើម។	ພື້ນຖານ; ຮາກຖານ	ກະລຸນາແກ້ໄຂເພີ່ມອີກບົນພື້ນຖານເດີມ.
激动	စိတ်လှုပ်ရှားစေသော; စိတ်ထိခိုက်သော	ဒီသတင်းက တကယ် စိတ်လှုပ်ရှားစရာကောင်းသည်။	រំភើប; ធ្វើឱ្យរំភើប	ដំណឹងនេះពិតជាធ្វើឱ្យរំភើបចិត្ត។	ຕື່ນເຕັ້ນ; ຊາບຊຶ້ງໃຈ	ຂ່າວນີ້ເຮັດໃຫ້ຕື່ນເຕັ້ນແທ້ໆ.
积极	တက်ကြွသော; အပြုသဘောဆောင်သော	သူသည် တရုတ်စာကို အလွန်တက်ကြွစွာ သင်ယူသည်။	សកម្ម; វិជ្ជមាន	គាត់រៀនភាសាចិនយ៉ាងសកម្ម។	ກະຕືລືລົ້ນ; ບວກ	ລາວຮຽນພາສາຈີນຢ່າງກະຕືລືລົ້ນ.
积累	စုဆောင်းသည်; စုဆောင်းမှု	သူသည် အလုပ်ထဲမှာ အတွေ့အကြုံများစွာ စုဆောင်းခဲ့သည်။	សន្សំសំចៃ; ប្រមូលផ្តុំ	គាត់បានប្រមូលបទពិសោធន៍ច្រើនក្នុងការងារ។	ສະສົມ; ການສະສົມ	ລາວສະສົມປະສົບການຫຼາຍໃນການເຮັດວຽກ.
即使	ပင်လျှင်; ဖြစ်သော်လည်း	အခက်အခဲတွေ ကြုံရပင်လျှင် အရှုံးမပေးပါနှင့်။	ទោះបីជា	ទោះបីជាជួបការលំបាក ក៏កុំបោះបង់។	ເຖິງແມ່ນວ່າ	ເຖິງແມ່ນພົບຄວາມຫຍຸ້ງຍາກ ກໍຢ່າຍອມແພ້.
及时	အချိန်မီ; ချက်ချင်း	ဒီမိုးက အချိန်မီ ရွာလာသည်။	ទាន់ពេល	ភ្លៀងលើកនេះធ្លាក់បានទាន់ពេលណាស់។	ທັນເວລາ	ຝົນຄັ້ງນີ້ຕົກມາທັນເວລາພໍດີ.
寄	စာပို့သည်; ပို့သည်	မင်းရဲ့ စာကို ပို့ရောက်ပြီးပြီ။	ផ្ញើ	សំបុត្ររបស់អ្នកបានផ្ញើដល់ហើយ។	ສົ່ງ; ຝາກສົ່ງ	ຈົດໝາຍຂອງເຈົ້າສົ່ງຮອດແລ້ວ.
技术	နည်းပညာ; ကျွမ်းကျင်မှု	ဤသည် ရှုပ်ထွေးသော နည်းပညာပြဿနာတစ်ခု ဖြစ်သည်။	បច្ចេកទេស; បច្ចេកវិទ្យា	នេះជាបញ្ហាបច្ចេកទេសស្មុគស្មាញមួយ។	ເຕັກນິກ; ເທັກໂນໂລຊີ	ນີ້ແມ່ນບັນຫາເຕັກນິກທີ່ຊັບຊ້ອນ.
既然	ဖြစ်နေပြီဆိုတော့; အကြောင်းကြောင့်	မင်း ရောက်လာပြီဆိုတော့ အတူတူ ထမင်းစားကြရအောင်။	ដោយសារតែ; ព្រោះថា	ដោយអ្នកមកហើយ យើងញ៉ាំបាយជាមួយគ្នាទៅ។	ໃນເມື່ອ; ເພາະວ່າ	ໃນເມື່ອເຈົ້າມາແລ້ວ ກໍກິນເຂົ້ານຳກັນເຖີດ.
继续	ဆက်လက်သည်	သူက ကုမ္ပဏီတွင် ဆက်လက်အလုပ်လုပ်လိုကြောင်း ပြောသည်။	បន្ត	គាត់បានបង្ហាញថាចង់បន្តធ្វើការនៅក្រុមហ៊ុន។	ສືບຕໍ່	ລາວສະແດງວ່າຍິນດີສືບຕໍ່ເຮັດວຽກໃນບໍລິສັດ.
计划	အစီအစဉ်; စီမံကိန်း	ကျွန်တော် အစီအစဉ်ကို ပြောင်းလဲပြီးပြီ။	គម្រោង; ផែនការ	ខ្ញុំបានផ្លាស់ប្តូរគម្រោងហើយ។	ແຜນ; ໂຄງການ	ຂ້ອຍປ່ຽນແຜນແລ້ວ.
记者	သတင်းထောက်	သတင်းထောက်က ကျောင်းအုပ်ကြီးကို မေးမြန်းနေသည်။	អ្នកសារព័ត៌មាន	អ្នកសារព័ត៌មានកំពុងសម្ភាសនាយកសាលា។	ນັກຂ່າວ	ນັກຂ່າວກຳລັງສຳພາດຜູ້ອຳນວຍການໂຮງຮຽນ.
加班	အချိန်ပိုလုပ်သည်	ဒီအပတ် ကျွန်တော်တို့ နေ့တိုင်းနီးပါး အချိန်ပိုလုပ်ခဲ့သည်။	ធ្វើការថែមម៉ោង	សប្តាហ៍នេះ យើងធ្វើការថែមម៉ោងស្ទើររាល់ថ្ងៃ។	ເຮັດວຽກລ່ວງເວລາ	ອາທິດນີ້ ພວກເຮົາເຮັດວຽກລ່ວງເວລາເກືອບທຸກມື້.
加油站	ဆီဆိုင်	မင်းအိမ်အနီးမှာ ဆီဆိုင်ရှိလား။	ស្ថានីយ៍ប្រេងឥន្ធនៈ	នៅជិតផ្ទះអ្នកមានស្ថានីយ៍ប្រេងឥន្ធនៈទេ?	ປ້ຳນ້ຳມັນ	ໃກ້ບ້ານເຈົ້າມີປ້ຳນ້ຳມັນບໍ?
家具	ပရိဘောဂ	အိမ်ပြောင်းပြီးနောက် ကျွန်တော်တို့ ပရိဘောဂအသစ် ပြောင်းသုံးခဲ့သည်။	គ្រឿងសង្ហារិម	បន្ទាប់ពីផ្លាស់ផ្ទះ យើងបានប្តូរគ្រឿងសង្ហារិមថ្មី។	ເຟີນີເຈີ	ຫຼັງຈາກຍ້າຍບ້ານ ພວກເຮົາປ່ຽນເຟີນີເຈີໃໝ່.
假	အတု; မမှန်သော	ဒီလက်မှတ်က အတုဖြစ်သည်။	ក្លែងក្លាយ; មិនពិត	សំបុត្រនេះជាក្លែងក្លាយ។	ປອມ; ບໍ່ແທ້	ປີ້ໃບນີ້ແມ່ນຂອງປອມ.
价格	ဈေးနှုန်း	မနှစ်ကစပြီး ကားဈေးနှုန်း လျော့ကျနေသည်။	តម្លៃ	តាំងពីឆ្នាំមុន តម្លៃរថយន្តកំពុងថយចុះ។	ລາຄາ	ຕັ້ງແຕ່ປີກາຍ ລາຄາລົດກຳລັງຫຼຸດລົງ.
坚持	ဆက်လက်စွဲကိုင်သည်; မလျှော့တမ်းလုပ်သည်	သူသည် ကိုယ်ပိုင်အမြင်ကို အမြဲတမ်း စွဲကိုင်ခဲ့သည်။	ប្រកាន់ខ្ជាប់; តស៊ូបន្ត	គាត់តែងតែប្រកាន់ខ្ជាប់ទស្សនៈរបស់ខ្លួន។	ຍຶດໝັ້ນ; ພາກພຽນຕໍ່ໄປ	ລາວຍຶດໝັ້ນຄວາມເຫັນຂອງຕົນມາໂດຍຕະຫຼອດ.
减肥	အလေးချိန်လျှော့သည်	ကျွန်တော် နေ့တိုင်း ပြေးပြီး အလေးချိန်လျှော့သည်။	សម្រកទម្ងន់	ខ្ញុំរត់រាល់ថ្ងៃដើម្បីសម្រកទម្ងន់។	ຫຼຸດນ້ຳໜັກ	ຂ້ອຍແລ່ນທຸກມື້ເພື່ອຫຼຸດນ້ຳໜັກ.
减少	လျော့နည်းသည်; လျှော့ချသည်	ဖောက်သည်များ သုံးပုံတစ်ပုံ လျော့နည်းသွားသည်။	ថយចុះ; កាត់បន្ថយ	អតិថិជនបានថយចុះមួយភាគបី។	ຫຼຸດລົງ; ຫຼຸດຜ່ອນ	ລູກຄ້າຫຼຸດລົງໜຶ່ງສ່ວນສາມ.
建议	အကြံပြုသည်; အကြံ	မနက်ဖြန် တစ်ရက် အနားယူရန် ကျွန်တော် အကြံပြုသည်။	ស្នើ; ផ្តល់យោបល់	ខ្ញុំស្នើឱ្យសម្រាកមួយថ្ងៃស្អែក។	ແນະນຳ; ຂໍ້ແນະນຳ	ຂ້ອຍແນະນຳໃຫ້ພັກໜຶ່ງມື້ໃນມື້ອື່ນ.
将来	အနာဂတ်	အနာဂတ်မှာ မင်း ဘာအလုပ်လုပ်ဖို့ စီစဉ်ထားလဲ။	អនាគត	នៅអនាគត អ្នកមានគម្រោងធ្វើការងារអ្វី?	ອະນາຄົດ	ໃນອະນາຄົດ ເຈົ້າວາງແຜນຈະເຮັດວຽກຫຍັງ?
奖金	ဆုကြေး; ဘောနပ်စ်	နှစ်ကုန်မှာ ကျွန်တော်တို့ ဆုကြေးတစ်ရပ် ရရှိခဲ့သည်။	ប្រាក់រង្វាន់	ចុងឆ្នាំយើងបានទទួលប្រាក់រង្វាន់មួយចំនួន។	ເງິນລາງວັນ; ໂບນັດ	ທ້າຍປີພວກເຮົາໄດ້ຮັບໂບນັດກ້ອນໜຶ່ງ.
降低	လျော့ကျသည်; လျှော့ချသည်	ဆောင်းဦးရောက်လာပြီး အပူချိန် စတင်လျော့ကျလာသည်။	បន្ថយ; ថយចុះ	រដូវស្លឹកឈើជ្រុះមកដល់ សីតុណ្ហភាពចាប់ផ្តើមថយចុះ។	ຫຼຸດລົງ; ຫຼຸດ	ລະດູໃບໄມ້ລົ່ນມາຮອດ ອຸນຫະພູມເລີ່ມຫຼຸດລົງ.
降落	ဆင်းသက်သည်	လေယာဉ် မကြာမီ ဆင်းသက်တော့မည်။	ចុះចត	យន្តហោះជិតចុះចតហើយ។	ລົງຈອດ	ເຮືອບິນກຳລັງຈະລົງຈອດໃນບໍ່ດົນ.
交	မိတ်ဆွေဖြစ်သည်; အပ်သည်	ကျွန်တော် တရုတ်မိတ်ဆွေများစွာ ရခဲ့သည်။	រាប់អាន; ប្រគល់	ខ្ញុំបានរាប់អានមិត្តចិនជាច្រើន។	ຄົບເພື່ອນ; ສົ່ງມອບ	ຂ້ອຍຄົບເພື່ອນຊາວຈີນຫຼາຍຄົນ.
交流	ဖလှယ်ခြင်း; ဆက်သွယ်မှု	နိုင်ငံများကြား ယဉ်ကျေးမှုဖလှယ်မှု ပိုပိုပြီး ကြွယ်ဝလာသည်။	ការផ្លាស់ប្តូរ; ការប្រាស្រ័យទាក់ទង	ការផ្លាស់ប្តូរវប្បធម៌រវាងប្រទេសកាន់តែសម្បូរឡើង។	ແລກປ່ຽນ; ການສື່ສານ	ການແລກປ່ຽນວັດທະນະທຳລະຫວ່າງປະເທດກຳລັງຫຼາກຫຼາຍຂຶ້ນ.
交通	သယ်ယူပို့ဆောင်ရေး; ယာဉ်အသွားအလာ	ဒီနေရာရဲ့ သွားလာရေးက အလွန်အဆင်ပြေသည်။	ចរាចរណ៍; ការដឹកជញ្ជូន	ចរាចរណ៍នៅទីនេះងាយស្រួលណាស់។	ການຈະລາຈອນ; ການຂົນສົ່ງ	ການເດີນທາງຢູ່ທີ່ນີ້ສະດວກຫຼາຍ.
郊区	မြို့ပြင်; ဆင်ခြေဖုံး	သူသည် မြို့၏ ဆင်ခြေဖုံးမှာ နေသည်။	ជាយក្រុង	គាត់រស់នៅជាយក្រុង។	ຊານເມືອງ	ລາວອາໄສຢູ່ຊານເມືອງ.
骄傲	မော်ကြွားသော; ဂုဏ်ယူသော	အောင်မြင်မှု ရရှိပြီးလည်း အရမ်းမော်ကြွားသင့်ပါ။	អួតខ្លួន; មោទនភាព	ទោះទទួលបានជោគជ័យក៏មិនគួរអួតខ្លួនពេកទេ។	ອວດດີ; ພູມໃຈ	ໄດ້ຮັບຄວາມສຳເລັດແລ້ວກໍບໍ່ຄວນອວດດີເກີນໄປ.
饺子	ဖက်ထုပ်	တရုတ်လူမျိုးများသည် နွေဦးပွဲတော်တွင် ဖက်ထုပ် စားကြသည်။	នំប៉ាវចិន	ជនជាតិចិនញ៉ាំនំប៉ាវចិនក្នុងបុណ្យចូលឆ្នាំចិន។	ກ່ຽວຈີນ	ຄົນຈີນກິນກ່ຽວຈີນໃນຊ່ວງບຸນປີໃໝ່ຈີນ.
教授	ပါမောက္ခ	သူသည် တက္ကသိုလ်ပါမောက္ခတစ်ဦး ဖြစ်သည်။	សាស្រ្តាចារ្យ	គាត់ជាសាស្រ្តាចារ្យសាកលវិទ្យាល័យម្នាក់។	ອາຈານສາດສະດາຈານ	ລາວເປັນອາຈານສາດສະດາຈານມະຫາວິທະຍາໄລ.
教育	ပညာရေး; ပညာပေးသည်	ကလေးတွေကို ပညာပေးရာမှာ သည်းခံမှု ရှိရမည်။	អប់រំ; ការអប់រំ	ការអប់រំកូនត្រូវមានការអត់ធ្មត់។	ສຶກສາ; ການສຶກສາ	ການສຶກສາລູກຕ້ອງມີຄວາມອົດທົນ.
接受	လက်ခံသည်	မင်းရဲ့ အမြင်အားလုံးကို ကျွန်တော် လက်ခံသည်။	ទទួលយក	យោបល់របស់អ្នកទាំងអស់ ខ្ញុំទទួលយក។	ຍອມຮັບ; ຮັບ	ຂ້ອຍຍອມຮັບຄວາມເຫັນທັງໝົດຂອງເຈົ້າ.
接着	ထို့နောက်; ဆက်ပြီး	သူ ခဏစဉ်းစားပြီး ဆက်ရေးသည်။	បន្ទាប់មក; បន្ត	គាត់គិតមួយភ្លែត ហើយបន្តសរសេរ។	ຕໍ່ຈາກນັ້ນ; ສືບຕໍ່	ລາວຄິດຢູ່ຄູ່ໜຶ່ງແລ້ວສືບຕໍ່ຂຽນ.
结果	ရလဒ်	မင်း ပြိုင်ပွဲ ကြည့်ခဲ့လား၊ ရလဒ် ဘယ်လိုလဲ။	លទ្ធផល	អ្នកបានមើលការប្រកួតទេ លទ្ធផលយ៉ាងម៉េច?	ຜົນ; ຜົນລັບ	ເຈົ້າໄດ້ເບິ່ງການແຂ່ງຂັນບໍ ຜົນເປັນແນວໃດ?
节	ပွဲတော်; အားလပ်ရက်	ဒီနေ့ ဘာပွဲတော်နေ့လဲ။	បុណ្យ; ថ្ងៃឈប់សម្រាក	ថ្ងៃនេះជាបុណ្យអ្វី?	ບຸນ; ວັນພັກ	ມື້ນີ້ແມ່ນບຸນຫຍັງ?
节约	ချွေတာသည်; ထိန်းသိမ်းသည်	ကျေးဇူးပြု၍ ရေကို ချွေတာသုံးပါ။	សន្សំសំចៃ	សូមសន្សំសំចៃទឹក។	ປະຢັດ	ກະລຸນາປະຢັດນ້ຳ.
解释	ရှင်းပြသည်; ရှင်းလင်းချက်	သူက အကြောင်းရင်းကို အလွန်ရှင်းရှင်းလင်းလင်း ရှင်းပြသည်။	ពន្យល់; ការពន្យល់	គាត់ពន្យល់ហេតុផលបានច្បាស់ណាស់។	ອະທິບາຍ; ຄຳອະທິບາຍ	ລາວອະທິບາຍເຫດຜົນໄດ້ຊັດເຈນຫຼາຍ.
尽管	ဖြစ်သော်လည်း; သော်လည်း	သူ့ကို အချိန်ကြာကြာ သိခဲ့ပေမဲ့ ကောင်းကောင်း မနားလည်ပါ။	ទោះបីជា	ទោះបីជាខ្ញុំស្គាល់គាត់យូរហើយ ក៏មិនសូវយល់ពីគាត់ទេ។	ເຖິງແມ່ນວ່າ	ເຖິງແມ່ນຂ້ອຍຮູ້ຈັກລາວມາດົນແລ້ວ ແຕ່ກໍບໍ່ເຂົ້າໃຈລາວດີ.
紧张	စိတ်လှုပ်ရှားသော; တင်းမာသော	ပထမဆုံး ဖျော်ဖြေပွဲမှာ သူ အလွန်စိတ်လှုပ်ရှားခဲ့သည်။	ភ័យ; តានតឹង	ការសម្តែងលើកដំបូង គាត់ភ័យណាស់។	ຕື່ນເຕັ້ນ; ຕຶງຄຽດ	ການສະແດງຄັ້ງທຳອິດ ລາວຕື່ນເຕັ້ນຫຼາຍ.
禁止	တားမြစ်သည်	ဤနေရာတွင် ဆေးလိပ်သောက်ခြင်း တားမြစ်ထားသည်။	ហាមឃាត់	ទីនេះហាមជក់បារី។	ຫ້າມ	ທີ່ນີ້ຫ້າມສູບຢາ.
进行	ဆောင်ရွက်သည်; ဖြစ်ပွားနေသည်	ပြိုင်ပွဲက ဆက်လက်ဖြစ်ပွားနေဆဲ ဖြစ်သည်။	កំពុងដំណើរការ; អនុវត្ត	ការប្រកួតនៅតែបន្តដំណើរការ។	ດຳເນີນ; ກຳລັງດຳເນີນ	ການແຂ່ງຂັນຍັງກຳລັງດຳເນີນຢູ່.
京剧	ပေကျင်းအော်ပရာ	သူမသည် နာမည်ကြီး ပေကျင်းအော်ပရာ သရုပ်ဆောင်တစ်ဦး ဖြစ်သည်။	ល្ខោនប៉េកាំង	នាងជាតារាសម្តែងល្ខោនប៉េកាំងល្បីម្នាក់។	ອຸປະລາກອນປັກກິ່ງ	ນາງເປັນນັກສະແດງອຸປະລາກອນປັກກິ່ງທີ່ມີຊື່ສຽງ.
精彩	အလွန်ကောင်းမွန်သော; ထူးချွန်သော	ဒီနေ့ ဖျော်ဖြေမှုက အလွန်ကောင်းမွန်သည်။	អស្ចារ្យ; ល្អឥតខ្ចោះ	ការសម្តែងថ្ងៃនេះអស្ចារ្យពេកហើយ!	ຍອດຢ້ຽມ; ນ່າປະທັບໃຈ	ການສະແດງມື້ນີ້ຍອດຢ້ຽມຫຼາຍ!
