simplified	SR	example_SR
空间	простор	Ова соба има много простора.
控制	контролисати	Возач је контролисао брзину аутомобила.
空闲	слободно време	Имаш ли слободног времена сутра поподне?
口味	укус; склоност у храни	Његов укус је прилично благ.
夸	хвалити	Наставник га је похвалио због великог напретка.
夸张	претеривати; претеран	Његов израз лица је помало претеран.
会计	рачуновођа; рачуноводство	Она ради као рачуновођа у компанији.
宽	широк	Овај пут је веома широк.
昆虫	инсект	Деца посматрају инсекте.
扩大	проширити	Школа планира да прошири библиотеку.
辣椒	љута паприка	У јело је стављено много љутих паприка.
拦	зауставити; препречити	Полиција је зауставила један ауто.
烂	труо; раскуван	Ова јабука се већ покварила.
朗读	читати наглас	Молим вас, прочитајте текст наглас.
劳动	рад; физички рад	Рад човеку даје осећај испуњености.
劳驾	извините	Извините, где је станица метроа?
姥姥	бака по мајци	Моја бака по мајци одлично кува.
老百姓	обични људи	Обични људи брину о трошковима живота.
老板	шеф; власник	Шеф данас није у канцеларији.
老婆	жена; супруга	Купио је цвеће својој жени.
老实	поштен; искрен	Он је поштен човек.
老鼠	миш; пацов	У кухињи је један миш.
乐观	оптимистичан	Она је оптимистична у погледу будућности.
雷	грмљавина	Синоћња грмљавина је била веома јака.
类型	тип; врста	Којој врсти припада овакав филм?
冷淡	хладан; равнодушан	Његов став је помало хладан.
厘米	центиметар	Ова оловка је дугачка петнаест центиметара.
梨	крушка	Купио сам неколико крушака.
离婚	развести се	Развели су се прошле године.
理论	теорија	Ова теорија је веома сложена.
理由	разлог	Какав разлог имаш за кашњење?
利润	добит; профит	Добит компаније је ове године порасла.
利息	камата	Камата у банци није висока.
利益	корист; интерес	Треба да заштитимо интересе свих.
利用	искористити; користити	Викенд користи за учење кинеског.
力量	снага	Јединство је снага.
立即	одмах	Молим вас, одмах напустите ово место.
立刻	одмах	Када је чуо вест, одмах је кренуо.
联合	удружити; заједнички	Две компаније су заједнички развиле производ.
连忙	брзо; одмах	Када је чуо телефон, брзо се јавио.
连续	узастопан; непрекидан	Радио је десет сати узастопно.
恋爱	љубавна веза; бити у вези	Они су у љубавној вези.
粮食	житарице; храна	Производња житарица је ове године порасла.
良好	добар; повољан	Он има добре навике у учењу.
亮	светао; јасан	Светло у соби је веома јако.
了不起	изузетан; задивљујући	Постигла је изузетне резултате.
列车	воз	Воз само што није кренуо.
临时	привремен	Ово је привремена одлука.
灵活	флексибилан; окретан	Методе учења треба да буду флексибилне.
铃	звоно	Зазвонило је школско звоно.
零件	део; компонента	Машини недостаје један део.
零食	грицкалице	Деца воле да једу грицкалице.
领导	вођа; руководство	Руководилац је на састанку.
领域	област; поље	Она ради у области образовања.
流传	преносити се; ширити се	Ова прича се преноси већ дуго.
流泪	плакати; пустити сузе	Када је чула ову вест, заплакала је.
浏览	прегледати; претраживати	Прво ћу прегледати веб-страницу.
龙	змај	У кинеској култури постоје змајеви.
漏	цурити; пропуштати	Кров прокишњава.
录取	примити; уписати	Примљен је на универзитет.
录音	снимати звук; аудио-снимак	Молим вас, почните снимање.
陆地	копно	Морска корњача се попела на копно.
陆续	један за другим; постепено	Гости су пристизали један за другим.
轮流	смењивати се	Наизменично чистимо учионицу.
论文	рад; теза	Она пише дипломски рад.
逻辑	логика	Његова логика је веома јасна.
落后	заостајати	Не смемо заостајати за другима.
骂	грдити	Молим вас, не грдите дете.
麦克风	микрофон	Молим вас, додајте му микрофон.
馒头	парено пециво	За доручак сам појео једно парено пециво.
满足	задовољити	Овај одговор не задовољава захтеве.
毛病	квар; проблем	Овај рачунар има мали проблем.
矛盾	сукоб; противречност	Међу њима постоје неки сукоби.
冒险	ризиковати; авантура	Ићи тамо сам превише је ризично.
贸易	трговина	Међународна трговина се брзо развија.
媒体	медији	Медији су известили о овом догађају.
煤炭	угаљ	Овај регион производи угаљ.
眉毛	обрва	Њене обрве су густе.
美术	ликовна уметност	Моја млађа сестра воли ликовну уметност.
魅力	шарм; привлачност	Овај град има много шарма.
梦想	сан; маштати	Његов сан је да постане лекар.
密切	близак; тесан	Одржавамо блиске контакте.
秘密	тајна	Ово је наша тајна.
秘书	секретар	Секретар је заказао време састанка.
蜜蜂	пчела	Међу цвећем има много пчела.
面对	суочити се	Треба храбро да се суочимо са тешкоћама.
面积	површина	Површина ове собе није велика.
面临	суочавати се	Компанија се суочава са новим изазовима.
描写	описати; приказати	Аутор је описао живот на селу.
苗条	витак	Она има витку фигуру.
敏感	осетљив	Ова тема је прилично осетљива.
名牌	познати бренд	Купио је сат познатог бренда.
名片	визиткарта	Молим вас, дајте ми једну визиткарту.
名胜古迹	знаменитости и историјски споменици	У Пекингу има много знаменитости и историјских споменика.
明确	јасан; разјаснити	Наставник је јасно објаснио захтеве.
明显	очигледан	Његов напредак је очигледан.
明星	звезда; славна личност	Жели да постане филмска звезда.
命令	наређење	Војници морају да слушају наређења.
命运	судбина	Он верује да се судбина може променити.
摸	додирнути; опипати	Молим вас, не додирујте ову слику.
摩托车	мотоцикл	Он иде на посао мотоциклом.
模仿	опонашати	Деца воле да опонашају говор одраслих.
模糊	нејасан; замућен	Ова фотографија је мало замућена.
模特	модел	Она је модни модел.
陌生	непознат	Овај град ми је веома непознат.
某	неки; одређени	Један наставник ме је позвао телефоном.
木头	дрво; цепаница	Овај сто је направљен од дрвета.
目标	циљ	Мој циљ је да положим испит.
目录	садржај; каталог	Молим те, прво погледај садржај на почетку књиге.
目前	тренутно; сада	Тренутна ситуација је прилично стабилна.
哪怕	чак и ако	Чак и ако је веома заузет, истрајава у учењу.
难怪	није ни чудо	Није ни чудо што си данас тако срећан.
难免	тешко је избећи	Када нешто радиш први пут, тешко је избећи грешке.
脑袋	глава	Мало га боли глава.
内部	унутрашњи; интерни	Ово је интерни материјал компаније.
内科	интерна медицина	Данас иде код лекара интерне медицине.
嫩	мек; нежан	Ово месо је веома меко.
能干	способан	Она је веома способна особа.
能源	енергија; извор енергије	Соларна енергија је врста чисте енергије.
嗯	мхм	Мхм, разумем.
年代	доба; деценија	Ова фотографија је снимљена осамдесетих година.
年纪	узраст; године	Није много стар, али има много искуства.
念	читати наглас; мислити на некога	Молим те, прочитај текст наглас једном.
宁可	радије	Радије бих пешачио него чекао аутобус.
牛仔裤	фармерке	Носи једне фармерке.
农村	село; рурално подручје	Одрасла је на селу.
农民	пољопривредник; сељак	Пољопривредници раде у пољу.
农业	пољопривреда	Пољопривреда је веома важна за овај регион.
浓	јак; густ	Ова кафа је превише јака.
女士	госпођа; дама	Та госпођа чека аутобус.
欧洲	Европа	Следећег месеца путује у Европу.
偶然	случајно	Случајно сам срео старог школског друга.
拍	фотографисати; пљеснути	Молим те, помози ми да направим једну фотографију.
派	послати; група	Компанија га је послала у Шангај на службени пут.
盼望	радовати се; жељно очекивати	Радујем се што ћу те ускоро видети.
培训	обука	Нови запослени треба да присуствују обуци.
培养	неговати; развијати	Школа придаје значај развоју способности ученика.
赔偿	надокнадити	Компанија је пристала да надокнади губитак.
佩服	дивити се	Заиста се дивим његовој храбрости.
配合	сарађивати; ускладити се	Молим вас, сарађујте са наставниковим распоредом.
盆	саксија; лавор	На балкону је саксија са цвећем.
碰	додирнути; ударити	Пази, не дирај врелу воду.
批	серија; партија	Ова партија робе стигла је данас.
批准	одобрити	Менаџер је одобрио овај план.
披	огрнути	Она је огрнула капут преко рамена.
疲劳	умор	Дуг рад може да изазове умор.
匹	класификатор за коње	На трави је један коњ.
片	кришка; танак комад	Молим вас, дајте ми једну кришку хлеба.
片面	једностран	Ово гледиште је превише једнострано.
飘	лебдети; вијорити се	Пахуље лебде у ваздуху.
拼音	пинјин	Молим те, поред кинеских знакова напиши пинјин.
频道	канал	Молим те, пребаци на канал са вестима.
凭	на основу; уз	Уз карту се може ући.
平均	просечан; у просеку	У просеку је свака особа потрошила десет јуана.
平	раван	Овај пут је веома раван.
平安	безбедан; миран	Желим ти срећан пут.
平常	обично; свакодневан	Он обично ретко касни.
平等	једнакост; равноправан	Свако треба да буде једнако третиран.
平方	квадратни	Ова соба има двадесет квадратних метара.
平衡	равнотежа	Потребна је равнотежа између посла и живота.
平静	миран	Површина језера је веома мирна.
评价	оцена; проценити	Наставник је дао веома високу оцену.
破产	банкротирати; банкрот	Та компанија је банкротирала прошле године.
破坏	оштетити; уништити	Молим вас, не оштећујте јавну имовину.
迫切	хитан; неодложан	Хитно нам је потребно више лекара.
期待	радовати се; очекивати	Веома се радујем овом путовању.
期间	током; период	Молим вас, искључите телефон током састанка.
其余	остали; преостали	О преосталим питањима разговараћемо сутра.
奇迹	чудо	Лекар је рекао да је то чудо.
企业	предузеће; компанија	Ово предузеће се брзо развија.
启发	инспирација; подстаћи	Ова књига ми је дала много инспирације.
气氛	атмосфера	Атмосфера у учионици је веома опуштена.
汽油	бензин	Аутомобилу треба бензин.
签	потписати	Молим вас, овде потпишите своје име.
谦虚	скроман	Веома је успешан, а и скроман.
前途	перспектива; будућност	Овај смер има добру перспективу.
浅	плитак; површан	Ова река је веома плитка.
欠	дуговати; недостајати	Још ми дугује двадесет јуана.
枪	пиштољ; пушка	Полицајац у руци држи пиштољ.
墙	зид	На зиду виси једна слика.
强调	нагласити	Наставник је нагласио питања безбедности.
强烈	јак; снажан	Он има снажан осећај одговорности.
抢	отимати се; борити се за	Не отимај се са другима за седиште.
悄悄	тихо; кришом	Тихо је ушла у собу.
瞧	погледати	Погледај, напољу пада снег.
巧妙	вешт; домишљат	Овај метод је веома домишљат.
切	сећи	Молим вас, исеците воће на мале комаде.
亲爱	драг; вољен	Драги пријатељу, хвала ти.
亲切	срдачан; љубазан	Наставник говори веома љубазно.
亲自	лично	Менаџер је лично примио госте.
勤奋	вредан; марљив	Марљиви људи лакше успевају.
清淡	благ; лаган	Волим да једем лагана јела.
轻视	потценити; презирати	Не потцењуј овај мали проблем.
轻易	лако; олако	Он неће лако одустати.
青	плавозелен	Ова одећа је плавозелене боје.
青春	младост	Младост је драгоцена.
青少年	тинејџер; млади	Тинејџерима је потребно довољно сна.
情景	сцена; околности	Сцена у филму је веома дирљива.
情绪	расположење; емоције	Његове емоције нису баш стабилне.
请求	молба; захтев	Изнео је једну молбу.
庆祝	прославити	Прославили смо његов рођендан.
球迷	навијач	Много навијача је дошло да гледа утакмицу.
趋势	тренд; тенденција	Овај тренд постаје све очигледнији.
取消	отказати	Догађај је отказан због кише.
娶	оженити се	Планира да се ожени њоме следеће године.
去世	преминути	Његов деда је преминуо прошле године.
圈	круг; заокружити	Молим вас, заокружите тачан одговор.
全面	свеобухватан	Морамо свеобухватно да разумемо ситуацију.
权利	право	Свако има право на образовање.
权力	моћ; власт	Власт треба да буде под надзором.
劝	саветовати; наговарати	Пријатељ ме је саветовао да раније одморим.
缺乏	недостатак; недостајати	Овој области недостаје чиста вода.
确定	утврдити; сигуран	Још не могу да утврдим време.
确认	потврдити	Молим вас, потврдите своју адресу.
群	група; гомила	Група деце се игра на игралишту.
燃烧	горети; сагоревање	Дрво гори.
绕	обићи; кружити	Обишли смо један круг око језера.
热爱	жарко волети	Он воли свој посао.
热烈	срдачан; топао	Сви су срдачно дочекали госте.
热心	предусретљив; срдачан	Суседи су сви веома предусретљиви.
人才	таленат; стручњак	Компанији је потребно више талентованих људи.
人口	становништво	Овај град има много становника.
人类	човечанство	Човечанство треба да штити Земљу.
人民币	ренминби; кинески јуан	Разменио сам нешто ренминбија.
人生	живот	Живот има много избора.
人事	људски ресурси; кадрови	Она ради у одељењу за људске ресурсе.
人物	лик; особа	Ликови у роману делују веома стварно.
人员	особље	Особље је већ стигло.
忍不住	не моћи се уздржати	Када је чуо виц, није могао да се уздржи од смеха.
日常	свакодневан	Ово је мој свакодневни посао.
日程	распоред	Данашњи распоред је веома пун.
日历	календар	На зиду виси календар.
日期	датум	Молим вас, јасно напишите датум.
日用品	свакодневне потрепштине	Супермаркет продаје много свакодневних потрепштина.
日子	дани; време	Ових дана је веома заузет.
如何	како	Како треба да решимо овај проблем?
如今	данас; сада	Данас је превоз много практичнији.
软	мек; флексибилан	Овај кревет је веома мек.
软件	софтвер	Овај софтвер је лак за употребу.
弱	слаб	Његово тело је прилично слабо.
洒	просути; попрскати	Случајно је просуо воду.
嗓子	грло; глас	Мало ме боли грло.
色彩	боја; колорит	Ова слика има богате боје.
杀	убити	У овом филму нема сцена убиства.
沙漠	пустиња	Вода у пустињи је веома драгоцена.
沙滩	плажа	Деца се играју на плажи.
傻	глуп; наиван	Не ради глупости.
晒	сушити на сунцу	Одећа се суши на балкону.
删除	обрисати	Молим вас, обришите овај имејл.
闪电	муња	Ноћу се појавила муња.
善良	добар; племенит	Она је добра особа.
善于	бити добар у нечему	Он је добар у решавању проблема.
扇子	лепеза	Лети често користим лепезу.
伤害	повредити; нашкодити	Не повређуј осећања других људи.
商品	роба; производ	Ова продавница има много робе.
商务	пословни; трговачки	Сутра иде на пословни састанак.
商业	трговина; пословање	Трговина је у овој области веома развијена.
上当	бити преварен	Замало је био преварен.
蛇	змија	У трави је једна змија.
舍不得	тешко се растајати; нерадо напустити	Тешко ми је да одем одавде.
射击	пуцање; гађање	Он тренира гађање.
摄影	фотографија; фотографисање	Веома је заинтересована за фотографију.
设备	опрема	Опрема у лабораторији је веома напредна.
设计	дизајн; дизајнирати	Овај дизајн је веома креативан.
设施	објекти; опрема	Спортски објекти у школи су добри.
伸	испружити	Молим те, испружи руку.
深刻	дубок; снажан	Ово искуство је оставило дубок утисак на мене.
身材	грађа; фигура	Она има здраву грађу.
身份	идентитет; статус	Молим вас, покажите доказ идентитета.
神话	мит; митологија	Деца воле да слушају митове.
神秘	тајанствен	Овај древни град је веома тајанствен.
升	литар; подићи	Цена горива је по литру мало порасла.
声调	тон	Кинески има четири основна тона.
生产	производити; производња	Ова фабрика производи мобилне телефоне.
生动	живописан	Наставник објашњава веома живописно.
生长	расти	Ова врста биљке брзо расте.
绳子	конопац	Молим вас, вежите кутију конопцем.
省略	изоставити	Овде се може изоставити један знак.
胜利	победа	Коначно су остварили победу.
失眠	несаница	У последње време често има несаницу.
失去	изгубити	Не губи самопоуздање.
失业	незапосленост; изгубити посао	После губитка посла почео је да учи нове вештине.
湿润	влажан	Ваздух после кише је веома влажан.
狮子	лав	У зоолошком врту су два лава.
诗	песма; поезија	Написао је једну песму.
实话	истина	Молим те, реци истину.
实践	пракса; применити у пракси	Теорију треба проверити кроз праксу.
实习	стажирати; пракса	Она ће током летњег распуста стажирати у болници.
实现	остварити	Коначно је остварио свој сан.
实验	експеримент; оглед	Ученици раде експеримент.
实用	практичан	Овај алат је веома практичан.
时差	временска разлика	Још се није навикао на временску разлику.
时代	доба; ера	Живимо у информатичком добу.
时刻	тренутак	Молим те, запамти овај важан тренутак.
时髦	модеран	Ова одећа је веома модерна.
时期	период	Период студирања је имао велики утицај на њега.
时尚	мода	Веома је заинтересована за моду.
石头	камен	Поред пута је један камен.
食物	храна	Молим вас, ставите храну у фрижидер.
使劲儿	употребити снагу	За отварање ове флаше треба употребити снагу.
始终	све време; од почетка до краја	Све време је веровао да може успети.
事实	чињеница	Чињенице доказују да је био у праву.
事物	ствар; појава	Деца су веома радознала према новим стварима.
事先	унапред	Молим те, унапред ми реци време.
似的	као да	Био је толико уморан као да није желео ни реч да каже.
士兵	војник	Војници тренирају.
市场	пијаца; тржиште	Ова пијаца је веома жива.
试卷	испитни рад	Наставник прегледа испитне радове.
收获	добитак; резултат	Много сам добио од овог путовања.
收据	рачун; признаница	После плаћања, молим вас, сачувајте рачун.
手工	ручно рађен; ручни рад	Овај поклон је ручно направљен.
手术	операција	Лекар ће га сутра оперисати.
手套	рукавица	Зими при изласку треба носити рукавице.
手续	процедура; формалности	За обављање процедуре потребна је лична карта.
手指	прст	Повредио је прст.
首	класификатор за песме	Отпевала је једну песму.
受伤	повредити се	Повредио се током утакмице.
寿命	век трајања	Ова врста машине има дуг век трајања.
书架	полица за књиге	Полица за књиге је пуна књига.
梳子	чешаљ	Чешља косу чешљем.
舒适	удобан	Ова соба је веома удобна.
蔬菜	поврће	Јести више поврћа добро је за здравље.
输入	унети	Молим вас, унесите лозинку у рачунар.
熟练	вешт	Он уме вешто да користи рачунар.
属于	припадати	Ова књига припада библиотеци.
数	бројати	Молим те, преброј колико људи има.
鼠标	рачунарски миш	Мој рачунарски миш је покварен.
数据	подаци	Ови подаци су веома важни.
数码	дигиталан	Купио је дигитални фотоапарат.
摔倒	пасти	Пала је на путу.
甩	отрести; замахнути	Отресао је воду са руку.
双方	обе стране	Обе стране су се сложиле са овим планом.
税	порез	При куповини треба платити порез.
说不定	можда; не може се знати	Можда ће сутра падати снег.
说服	убедити	Коначно је убедио родитеље.
丝绸	свила	Овај шал је направљен од свиле.
丝毫	нимало; ни најмање	Нимало није променио мишљење.
思考	размишљати	Молим вас, озбиљно размислите о овом проблему.
思想	мисао; размишљање	Његово размишљање је веома отворено.
撕	цепати	Молим те, не цепај овај папир.
私人	приватан	Ово је мој приватни простор.
似乎	изгледа; чини се	Изгледа да није баш срећан.
搜索	претражити	Претражио сам материјале на интернету.
宿舍	студентски дом; спаваоница	Студенти живе у школском дому.
随身	са собом	Молим вас, држите пасош код себе.
随时	у било које време	Можеш ме позвати у било које време.
随手	успут; одмах при руци	Молим те, затвори врата за собом кад излазиш.
碎	сломљен; разбити се	Шоља је пала на земљу и разбила се.
损失	губитак; штета	Ова несрећа је проузроковала велики губитак.
缩短	скратити	Нова рута је скратила пут.
所	класификатор за школе и установе	Ова школа је веома позната.
锁	закључати; брава	Молим вас, закључајте врата пре изласка.
台阶	степеница	Старија особа се полако попела уз степенице.
太极拳	тај чи	У парку неки људи вежбају тај чи.
太太	госпођа; супруга	Госпођа Ванг кува.
谈判	преговори; преговарати	Обе стране преговарају.
坦率	искрен; отворен	Искрено је изнео своје мисли.
烫	врућ; опећи	Ова шоља чаја је веома врућа.
桃	бресква	На дрвету је родило много бресака.
淘气	несташан	Ово дете је помало несташно.
逃	побећи	Штене је побегло из дворишта.
逃避	избегавати	Не избегавај одговорност.
讨价还价	ценкати се	Воли да се ценка када купује.
套	комплет; сет	Купио је нови комплет одеће.
特色	особеност; карактеристика	Овај ресторан има локалне особености.
特殊	посебан	Данас је посебан дан.
特征	обележје; карактеристика	Ова врста животиње има очигледна обележја.
疼爱	много волети; мазити	Деда и бака много воле дете.
提倡	залагати се за; промовисати	Школа се залаже за штедњу воде.
提纲	нацрт; план	Пре писања текста најпре направи нацрт.
提问	поставити питање	Ученици могу у било које време да поставе питања.
题目	наслов; питање; тема	Ово питање није баш тешко.
体会	схватање; искуство	Кроз путовање сам стекао ново схватање.
体贴	пажљив	Веома је пажљив према породици.
体现	одражавати; показивати	Ова ствар одражава тимски дух.
体验	искусити	Желим да искусим локални живот.
天空	небо	Небо је данас веома плаво.
天真	наиван; невин	Дететова идеја је веома наивна.
调皮	несташан	Та мачка је веома несташна.
调整	прилагодити; измена	Морамо да прилагодимо план.
挑战	изазов	Ово је велики изазов.
通常	обично	Обично устаје у седам.
统一	ујединити; усагласити	Мишљења свих треба усагласити.
痛苦	бол; патња	Губитак пријатеља га је веома растужио.
痛快	задовољно; сјајно	Данас смо се баш сјајно провели.
偷	украсти	Не кради туђе ствари.
投入	посвећен; уложити	Ради веома посвећено.
投资	улагање; инвестирати	Уложили су у нови пројекат.
透明	провидан	Ова чаша је провидна.
突出	истакнут	Његове предности су веома истакнуте.
土地	земља; тло	Овај комад земље је веома плодан.
土豆	кромпир	Купио сам неколико кромпира.
兔子	зец	Дете гаји једног зеца.
吐	повраћати	Није му добро и хоће да повраћа.
团	група; округао	Придружили смо се туристичкој групи.
推辞	одбити	Одбио је позив пријатеља.
推广	промовисати; проширити	Компанија промовише нови производ.
推荐	препоручити	Наставник је препоручио ову књигу.
退	повући се; одступити	Молим вас, одступите један корак уназад.
退步	назадовати	Ако не вежбаш, ниво ће ти назадовати.
退休	пензионисати се	Следеће године ће се пензионисати.
歪	крив; накривљен	Ова слика виси накриво.
外公	деда по мајци	Мој деда по мајци ове године има осамдесет година.
外交	дипломатија; спољни послови	Студира међународне односе и дипломатију.
完美	савршен	Овај план није савршен.
完善	побољшати; усавршити	Морамо да побољшамо процес услуге.
完整	потпун; цео	Молим вас, дајте ми потпун извештај.
玩具	играчка	Дете је ставило играчке у кутију.
万一	ако случајно; за сваки случај	Ако случајно падне киша, ићи ћемо други дан.
王子	принц	Принц у причи је веома храбар.
往返	ићи и вратити се; повратни	Ова карта омогућава повратак истог дана.
网络	интернет; мрежа	Интернет веза овде је веома стабилна.
危害	штетити; угрозити	Пушење може да нашкоди здрављу.
威胁	претити; угрожавати	Загађење угрожава реку.
微笑	осмех; осмехнути се	Осмехнула ми се.
唯一	једини	Ово је једини начин.
围巾	шал	Зими носи шал.
围绕	окретати се око; усредсредити се на	Расправа се водила око овог питања.
维修	поправка; одржавање	Лифт је на поправци.
违反	прекршити	Такво поступање крши правила.
伟大	велики; изузетан	Ово је велико откриће.
委屈	осећати неправду	Осећала се веома повређено.
尾巴	реп	Штене је махало репом.
位于	налазити се	Школа се налази у центру града.
位置	место; положај	Ово место је веома мирно.
未必	не мора бити; није нужно	Оно што је рекао не мора бити истина.
未来	будућност	Морамо да се припремимо за будућност.
胃	желудац	Мало ми је непријатно у желуцу.
胃口	апетит	Данас има добар апетит.
温暖	топао	Пролећно сунце је веома топло.
温柔	нежан	Говори веома нежно.
文件	документ; датотека	Молим вас, пошаљите ми документ.
文具	школски прибор	У школској торби има много прибора.
文明	цивилизован; цивилизација	Стајање у реду је цивилизовано понашање.
文学	књижевност	Воли кинеску књижевност.
文字	писмо; текст	Ови знакови су тешки за читање.
闻	помирисати; чути	Осетио сам мирис цвећа.
吻	пољубити; пољубац	Мајка је пољубила дете у лице.
稳定	стабилан	Цене остају стабилне.
问候	поздравити	Молим те, поздрави своју породицу у моје име.
卧室	спаваћа соба	У спаваћој соби је велики кревет.
握手	руковати се	Руковали су се када су се срели.
屋子	соба; кућа	У соби је топло.
无奈	беспомоћан; немоћан	Беспомоћно је одмахнуо главом.
无数	безбројан	На ноћном небу има безброј звезда.
无所谓	свеједно је	Свеједно је шта желиш да једеш.
武术	борилачка вештина	Од детињства учи борилачке вештине.
勿	немој; забрањено је	Молимо, не пушите овде.
物理	физика	Час физике је веома занимљив.
物质	материја; супстанца	Вода је важна супстанца.
雾	магла	Ујутру је била густа магла.
吸取	извући; усвојити	Треба да извучемо поуку из овога.
吸收	упити; апсорбовати	Биљке упијају воду.
戏剧	драма; позориште	Воли да гледа традиционалне драме.
系	одсек; повезати	Студира на одсеку за кинески језик.
系统	систем	Овај систем ради стабилно.
细节	детаљ	Молим вас, обратите пажњу на ове детаље.
瞎	слеп; напамет	Не нагађај напамет, прво погледај материјале.
下载	преузети	Преузео сам овај софтвер.
吓	уплашити	Изненадни звук ме је уплашио.
夏令营	летњи камп	Дете је похађало летњи камп кинеског језика.
鲜艳	јарких боја	Боја ове сукње је веома јарка.
显得	изгледати; чинити да изгледа	Ова одећа чини да изгледа веома младо.
显然	очигледно	Очигледно је већ знао резултат.
显示	приказати; показати	Екран приказује погрешно време.
县	округ	У овом округу има много чајних плантажа.
现代	модеран; савремено доба	Савремени живот не може без интернета.
现实	стварност	Морамо се суочити са стварношћу.
现象	појава	Ова појава је веома честа.
限制	ограничити	Овде је улаз возилима ограничен.
相处	слагати се	Добро се слажу.
相当	прилично; одговарајући	Ова књига је прилично занимљива.
相对	релативно	Цене овде су релативно ниске.
相关	повезан; релевантан	Молим вас, доставите релевантне материјале.
相似	сличан	Значења ова два знака су веома слична.
香肠	кобасица	За доручак има јаја и кобасица.
享受	уживати	Уживају у одмору.
想念	недостајати; чезнути	Породица ми много недостаје.
想象	замислити	Не могу да замислим такав живот.
象棋	кинески шах	Деда воли да игра кинески шах.
象征	симболизовати; симбол	Бела боја често симболизује чистоту.
项	ставка; класификатор за задатке	Овај задатак је веома важан.
项链	огрлица	Носи сребрну огрлицу.
项目	пројекат; ставка	Овај пројекат захтева три месеца.
消费	потрошња; трошити	Потрошња се повећала током празника.
消化	варење; сварити	Шетња после оброка помаже варењу.
消极	негативан; пасиван	Не гледај на проблеме негативним ставом.
消失	нестати	Сунце је полако нестало иза планине.
销售	продаја; продавати	Ова компанија продаје електронске производе.
小麦	пшеница	На северу је посејано много пшенице.
小气	шкрт	Не буди тако шкрт.
孝顺	поштовати родитеље	Веома поштује своје родитеље.
效率	ефикасност	Овако се може повећати ефикасност.
歇	одморити се	Хајде прво мало да се одморимо.
斜	кос; нагнут	Овај пут је мало нагнут.
写作	писање	Писање захтева дуготрајну вежбу.
心理	психолошки; ментални	Пре испита треба прилагодити ментално стање.
心脏	срце	Здравље срца је веома важно.
欣赏	дивити се; уживати у	Дивили смо се лепом пејзажу.
信号	сигнал	Сигнал мобилног телефона овде је слаб.
信任	поверење; веровати	Међу пријатељима је потребно поверење.
形成	формирати се	Добре навике треба постепено да се формирају.
形容	описати	Не знам како да опишем овај осећај.
形势	ситуација; околности	Тренутна ситуација је прилично сложена.
形式	облик; форма	Састанак може да буде у онлајн облику.
形象	имиџ; слика	Његов јавни имиџ је веома добар.
形状	облик	Облик ове кутије је веома посебан.
行动	акција; деловати	Морамо одмах да делујемо.
行人	пешак	При преласку улице обрати пажњу на пешаке.
行为	понашање	Овакво понашање није пристојно.
幸亏	срећом	Срећом, подсетио си ме.
幸运	срећан; срећа	Имао је среће да нађе посао.
性质	природа; карактер	Природа овог проблема је веома озбиљна.
兄弟	браћа	Њих двојица браће имају добар однос.
胸	груди	Осећа мало стезање у грудима.
休闲	слободно време; одмор	Викенд је добро време за одмор.
修改	изменити; исправити	Молим вас, измените овај чланак.
虚心	скроман; отворен за савете	Треба скромно да саслушамо мишљења.
叙述	испричати; изложити	Јасно је испричао шта се догодило.
宣布	објавити	Школа је објавила нова правила.
宣传	промовисати; пропаганда	Промовишу знање о заштити животне средине.
学历	образовање; стручна спрема	За овај посао је потребна факултетска диплома.
学术	академски; научни	На овом састанку се расправља о академским питањима.
学问	знање; ученост	Он је веома учен.
血	крв	Рука му је мало крварила.
寻找	тражити	Тражимо нови метод.
询问	распитати се; питати	Питао је наставника за време испита.
训练	тренинг; тренирати	Спортиста тренира сваки дан.
迅速	брз; брзо	Вест се брзо проширила.
押金	депозит	За изнајмљивање стана треба платити депозит.
牙齿	зуби	Молим те, сваког дана добро чувај зубе.
严肃	озбиљан	Наставников израз лица је веома озбиљан.
延长	продужити	Састанак је продужен за пола сата.
演讲	говор; одржати говор	Припрема сутрашњи говор.
宴会	банкет; свечана вечера	Присуствовали су једном банкету.
阳台	балкон	На балкону стоји неколико саксија цвећа.
痒	сврбети	Рука ме мало сврби.
样式	стил; модел	Овај стил је веома популаран.
腰	струк; доњи део леђа	Од дугог седења може да заболи доњи део леђа.
摇	тресати; љуљати	Ветар је љуљао гране тамо-амо.
咬	ујести	Овај пас не уједа људе.
要不	или; шта ако	Шта кажеш да одемо сутра?
业务	пословање; делатност	Пословање компаније све више расте.
业余	слободно време; аматерски	У слободно време учи фотографију.
夜	ноћ	Ноћу је улица веома тиха.
依然	и даље	И даље живи у Пекингу.
一辈子	цео живот	Цео живот је волела музику.
一旦	чим; једном када	Када једном одлучиш, треба да истрајеш.
一律	сви без изузетка	Током састанка сви телефони морају бити искључени.
一再	изнова; више пута	Више пута нас је подсетио да пазимо на безбедност.
一致	једногласан; исти	Мишљења свих су потпуно иста.
疑问	питање; недоумица	Имам недоумицу у вези са овим одговором.
移动	померити	Молим те, помери сто мало.
移民	емигрирати; мигрант	Планирају да се преселе у иностранство.
遗憾	жалити; жаљење	Жао ми је што нисам могао да те видим.
乙	други по реду	У уговору је друга страна одговорна за плаћање.
以及	као и; и	Купио сам књиге као и школски прибор.
以来	од тада; откако	Од дипломирања стално ради у Пекингу.
